econ_key_date,member_deal_ids,source_workbooks,n_rows,acquirer,target,completion_date,completion_year,subtype2,subtype3,ctrl_transfer,fin_status,pat_status,deal_event_id,Final_Classification,Classification_Confidence,Innovation_or_Commercial_Asset,Classification_Justification,Eligibility,Exclusion_Reason,InnovationDeal,is_primary_innovation,is_alternative,acquirer_group
amdipharm mercury||abcur||2013-12-06,CTL-0273,control,1,Amdipharm Mercury Company Limited,Abcur AB,2013-12-06,2013,Acquisition,Majority Acquisition,Review - majority,Not collected,Not collected,EVT-2A7D056D,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Broader (majority control-transfer),,0,0,0,Amdipharm Mercury Company Limited
amdipharm mercury||mercury amdipharm||2013-03-15,CTL-0287,control,1,Amdipharm Mercury Company Limited,Mercury Pharma Group Ltd; Amdipharm Ltd,2013-03-15,2013,Merger,,Review - merger,Not collected,Not collected,EVT-5B8F53A2,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,"Broader (merger, surviving entity)",,0,0,0,Amdipharm Mercury Company Limited
amdipharm mercury||primegen||2015-06-02,CTL-0213,control,1,Amdipharm Mercury Company Limited,Primegen Ltd,2015-06-02,2015,Acquisition,Majority Acquisition,Review - majority,Not collected,Not collected,EVT-C562186C,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Broader (majority control-transfer),,0,0,0,Amdipharm Mercury Company Limited
amphastar||international medication systems uk||2016-08-01,CTL-0154,control,1,Amphastar Pharmaceuticals Inc,International Medication Systems (UK) Ltd,2016-08-01,2016,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-DDF46AD9,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Amphastar Pharmaceuticals Inc
amryt||amryt||2016-04-19,CTL-0196,control,1,Amryt Pharma Plc,Amryt GmbH,2016-04-19,2016,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-CB195734,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Amryt Pharma Plc
aphria||cc||2019-01-09,TRT-0007,treatment,1,Aphria Inc,CC Pharma GmbH,2019-01-09,2019,Acquisition,Majority Acquisition,Review - majority,Not collected,Not collected,EVT-40747E4E,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Broader (majority control-transfer),,0,0,0,Aphria Inc
aratana therapeutics||okapi sciences||2014-01-06,CTL-0272,control,1,"Aratana Therapeutics, Inc.",Okapi Sciences NV,2014-01-06,2014,Acquisition,Majority Acquisition,Review - majority,Not collected,Not collected,EVT-74C381CD,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Broader (majority control-transfer),,0,0,0,"Aratana Therapeutics, Inc."
artivion||jotec||2017-12-01,CTL-0115,control,1,Artivion Inc,JOTEC AG,2017-12-01,2017,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-E9605D66,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Artivion Inc
ascelia||oncoral aps||2017-09-14,CTL-0121,control,1,Ascelia Pharma AB,Oncoral Pharma ApS,2017-09-14,2017,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-DDD8E325,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Ascelia Pharma AB
ascenion ifb innovationsstarter innovationsstarter hamburg||provirex genome editing therapies||2020-04-29,CTL-0019,control,1,Ascenion GmbH; IFB Innovationsstarter GmbH (Innovationsstarter Hamburg GmbH),PROVIREX Genome Editing Therapies GmbH,2020-04-29,2020,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-08F348DA,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Ascenion GmbH; IFB Innovationsstarter GmbH (Innovationsstarter Hamburg GmbH)
asklepios biopharmaceutical||brainvectis||2020-04-22,CTL-0020,control,1,Asklepios BioPharmaceutical Inc,Brainvectis SAS,2020-04-22,2020,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-BDCB1CF6,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Asklepios BioPharmaceutical Inc
assistances medicales specialisees||asdia||2014-09-22,CTL-0248,control,1,Assistances Medicales Specialisees,ASDIA,2014-09-22,2014,Acquisition,Majority Acquisition,Review - majority,Not collected,Not collected,EVT-EB685F9E,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Broader (majority control-transfer),,0,0,0,Assistances Medicales Specialisees
astellas europe||nanna therapeutics||2020-04-21,CTL-0021,control,1,Astellas Pharma Europe Ltd,Nanna Therapeutics Ltd,2020-04-21,2020,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-B8594FED,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Astellas Pharma Europe Ltd
astellas||ogeda||2017-05-16,TRT-0014,treatment,1,Astellas Pharma Inc,Ogeda SA,2017-05-16,2017,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-8866D4CE,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Astellas Pharma Inc
astellas||quethera||2018-08-10,CTL-0078,control,1,Astellas Pharma Inc,Quethera Ltd,2018-08-10,2018,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-B4E8CB8B,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Astellas Pharma Inc
augment investments inactive||pharmstandard||2015-06-03,CTL-0216,control,1,Augment Investments Limited (Inactive),Pharmstandard,2015-06-03,2015,Acquisition,Minority Acquisition,Exclude - minority,Not collected,Not collected,EVT-AF8DAFF3,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Ineligible,Minority stake — no control transfer,0,0,0,Augment Investments Limited (Inactive)
augment investments inactive||pharmstandard||2016-09-14,CTL-0160,control,1,Augment Investments Limited (Inactive),Pharmstandard,2016-09-14,2016,Acquisition,Minority Acquisition,Exclude - minority,Not collected,Not collected,EVT-89DDD0FB,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Ineligible,Minority stake — no control transfer,0,0,0,Augment Investments Limited (Inactive)
augment investments inactive||pharmstandard||2016-12-12,CTL-0164,control,1,Augment Investments Limited (Inactive),Pharmstandard,2016-12-12,2016,Acquisition,Minority Acquisition,Exclude - minority,Not collected,Not collected,EVT-7211E295,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Ineligible,Minority stake — no control transfer,0,0,0,Augment Investments Limited (Inactive)
aur portfolio iii se kgaa||the hospital||2016-07-15,CTL-0156,control,1,AUR Portfolio III SE & Co KgaA,The Hospital Group,2016-07-15,2016,Acquisition,Majority Acquisition,Review - majority,Not collected,Not collected,EVT-A504924F,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Broader (majority control-transfer),,0,0,0,AUR Portfolio III SE & Co KgaA
auspex||imphar||2015-12-31,TRT-0032,treatment,1,Auspex Pharmaceuticals Inc,imphar AG,2015-12-31,2015,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-A4AD70BD,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Auspex Pharmaceuticals Inc
avadel||avadel flamel technologies inactive||2017-01-01,CTL-0165,control,1,Avadel Pharmaceuticals Plc,Avadel Pharmaceuticals Plc; Flamel Technologies SA (Inactive),2017-01-01,2017,Merger,,Review - merger,Not collected,Not collected,EVT-469B2A0D,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,"Broader (merger, surviving entity)",,0,0,0,Avadel Pharmaceuticals Plc
b braun avitum||nephtec||2019-07-04,CTL-0046,control,1,B. Braun Avitum AG,Nephtec GmbH,2019-07-04,2019,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-81007800,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,B. Braun Avitum AG
basf||pronova biopharma norway inactive||2013-01-31,CTL-0296,control,1,BASF AS,Pronova Biopharma Norway As (Inactive),2013-01-31,2013,Acquisition,Majority Acquisition,Review - majority,Not collected,Not collected,EVT-4BDD981F,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Broader (majority control-transfer),,0,0,0,BASF AS
bayer||algeta asa inactive||2014-03-06,CTL-0274,control,1,Bayer AG,Algeta ASA (Inactive),2014-03-06,2014,Acquisition,Majority Acquisition,Review - majority,Not collected,Not collected,EVT-0DBB057C,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Broader (majority control-transfer),,0,0,0,Bayer AG
bayer||kandy therapeutics||2020-09-09,CTL-0011,control,1,Bayer AG,KaNDy Therapeutics Ltd,2020-09-09,2020,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-14ABDCD2,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Bayer AG
bbi inactive||diarect||2020-06-03,CTL-0014,control,1,BBI Group Holding Ltd (Inactive),Diarect AG,2020-06-03,2020,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-14785CCE,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,BBI Group Holding Ltd (Inactive)
bio gate||bioepiderm||2016-04-20,CTL-0169,control,1,Bio-Gate Ag,BioEpiderm GmbH,2016-04-20,2016,Acquisition,Minority Acquisition,Exclude - minority,Not collected,Not collected,EVT-733EAF3C,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Ineligible,Minority stake — no control transfer,0,0,0,Bio-Gate Ag
biocodex||iprad sante||2020-01-06,CTL-0031,control,1,Biocodex,Iprad Sante SA,2020-01-06,2020,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-FF12A4BD,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Biocodex
biodexa||q chip||2014-12-08,TRT-0043,treatment,1,Biodexa Ltd,"Q Chip, Ltd.",2014-12-08,2014,Acquisition,Majority Acquisition,Review - majority,Partial,Not collected,EVT-ADD6C92A,High-confidence innovation-driven,High,Sustained-release drug-formulation platform (Q Chip),Midatech acquires Q Chip to add oncology/ophthalmology programs based on the sustained-release platform. Platform + development programs central.,Broader (majority control-transfer),,1,1,0,Biodexa Ltd
biogaia||metabogen||2015-12-01,TRT-0027,treatment,1,BioGaia AB,MetaboGen AB,2015-12-01,2015,Acquisition,Minority Acquisition,Exclude - minority,Not collected,Not collected,EVT-A039DC41,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Ineligible,Minority stake — no control transfer,0,0,0,BioGaia AB
biogaia||metabogen||2016-11-30,TRT-0020,treatment,1,BioGaia AB,MetaboGen AB,2016-11-30,2016,Acquisition,Minority Acquisition,Exclude - minority,Not collected,Not collected,EVT-587CC31A,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Ineligible,Minority stake — no control transfer,0,0,0,BioGaia AB
biogen||convergence||2015-02-12,CTL-0237,control,1,Biogen Inc,Convergence Pharmaceuticals Ltd,2015-02-12,2015,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-053455F1,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Biogen Inc
biogen||convergence||2015-02-28,CTL-0238,control,1,"Biogen, Inc.",Convergence Pharmaceuticals Holdings Limited,2015-02-28,2015,Acquisition,Majority Acquisition,Review - majority,Not collected,Not collected,EVT-E2B48023,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Broader (majority control-transfer),,0,0,0,"Biogen, Inc."
biogen||nightstar therapeutics inactive||2019-06-07,CTL-0058,control,1,Biogen Inc,Nightstar Therapeutics PLC (Inactive),2019-06-07,2019,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-058183FC,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Biogen Inc
biolinerx||agalimmune||2017-03-23,TRT-0016,treatment,1,BioLineRx Ltd,Agalimmune Ltd,2017-03-23,2017,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-86E2C981,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,BioLineRx Ltd
boehringer ingelheim international||amal therapeutics||2019-07-15,CTL-0044,control,1,Boehringer Ingelheim International GmbH,Amal Therapeutics SA,2019-07-15,2019,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-9D55DA21,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Boehringer Ingelheim International GmbH
boehringer ingelheim international||icd therapeutics||2019-03-29,CTL-0056,control,1,Boehringer Ingelheim International GmbH,ICD Therapeutics GmbH,2019-03-29,2019,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-53EFD1A8,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Boehringer Ingelheim International GmbH
boehringer ingelheim international||viratherapeutics||2018-09-13,CTL-0074,control,1,Boehringer Ingelheim International GmbH,ViraTherapeutics GmbH,2018-09-13,2018,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-B70F64B8,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Boehringer Ingelheim International GmbH
boston scientific||emcision inactive||2018-03-05,CTL-0092,control,1,Boston Scientific Corp,Emcision Ltd (Inactive),2018-03-05,2018,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-BA695A8C,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Boston Scientific Corp
boston scientific||symetis inactive||2017-05-16,TRT-0015,treatment,1,Boston Scientific Corp,Symetis SA (Inactive),2017-05-16,2017,Acquisition,100% Acquisition,Eligible - 100%,Not collected,Not collected,EVT-C2AC891E,Insufficient evidence (not data-carrying),Not assessed,,Not individually adjudicated: no usable financial or patent data to enter H1/H2 (master-prompt priority rule); classify only if promoted to the analytical sample.,Strict (100%),,0,0,0,Boston Scientific Corp
