src,deal_id,Company_or_Group,priority_year,patent_families,Coverage_Basis,citations,deal_event_id,completion_year,RelativeYear,acquirer,target,Final_Classification,Classification_Confidence,Eligibility,InnovationDeal,is_primary_innovation,is_alternative,member_deal_ids,asinh_families
control,CTL-0071,Roche Holding AG,2013,6,Inferred from observed earliest-priority-year range,209,EVT-1955B15F,2018,-5,F. Hoffmann-La Roche Ltd,Tusk Therapeutics Ltd,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0071,2.4917798526449118
control,CTL-0071,Roche Holding AG,2014,0,Inferred from observed earliest-priority-year range,0,EVT-1955B15F,2018,-4,F. Hoffmann-La Roche Ltd,Tusk Therapeutics Ltd,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0071,0.0
control,CTL-0071,Roche Holding AG,2015,0,Inferred from observed earliest-priority-year range,0,EVT-1955B15F,2018,-3,F. Hoffmann-La Roche Ltd,Tusk Therapeutics Ltd,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0071,0.0
control,CTL-0071,Roche Holding AG,2016,0,Inferred from observed earliest-priority-year range,0,EVT-1955B15F,2018,-2,F. Hoffmann-La Roche Ltd,Tusk Therapeutics Ltd,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0071,0.0
control,CTL-0071,Roche Holding AG,2017,0,Inferred from observed earliest-priority-year range,0,EVT-1955B15F,2018,-1,F. Hoffmann-La Roche Ltd,Tusk Therapeutics Ltd,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0071,0.0
control,CTL-0071,Roche Holding AG,2018,0,Inferred from observed earliest-priority-year range,0,EVT-1955B15F,2018,0,F. Hoffmann-La Roche Ltd,Tusk Therapeutics Ltd,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0071,0.0
control,CTL-0071,Roche Holding AG,2019,1,Inferred from observed earliest-priority-year range,4,EVT-1955B15F,2018,1,F. Hoffmann-La Roche Ltd,Tusk Therapeutics Ltd,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0071,0.881373587019543
control,CTL-0071,Roche Holding AG,2020,0,Inferred from observed earliest-priority-year range,0,EVT-1955B15F,2018,2,F. Hoffmann-La Roche Ltd,Tusk Therapeutics Ltd,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0071,0.0
control,CTL-0071,Roche Holding AG,2021,1,Inferred from observed earliest-priority-year range,0,EVT-1955B15F,2018,3,F. Hoffmann-La Roche Ltd,Tusk Therapeutics Ltd,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0071,0.881373587019543
control,CTL-0071,Roche Holding AG,2022,0,Inferred from observed earliest-priority-year range,0,EVT-1955B15F,2018,4,F. Hoffmann-La Roche Ltd,Tusk Therapeutics Ltd,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0071,0.0
control,CTL-0071,Roche Holding AG,2023,3,Inferred from observed earliest-priority-year range,1,EVT-1955B15F,2018,5,F. Hoffmann-La Roche Ltd,Tusk Therapeutics Ltd,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0071,1.8184464592320668
control,CTL-0071,Roche Holding AG,2024,3,Inferred from observed earliest-priority-year range,0,EVT-1955B15F,2018,6,F. Hoffmann-La Roche Ltd,Tusk Therapeutics Ltd,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0071,1.8184464592320668
treatment,TRT-0045,Shire,2011,15,Inferred from observed priority-year range,159,EVT-27796271,2013,-2,Shire plc (Inactive),Premacure AB,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,TRT-0045,3.4023066454805946
treatment,TRT-0045,Shire,2012,13,Inferred from observed priority-year range,241,EVT-27796271,2013,-1,Shire plc (Inactive),Premacure AB,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,TRT-0045,3.2595725562629214
treatment,TRT-0045,Shire,2013,23,Inferred from observed priority-year range,416,EVT-27796271,2013,0,Shire plc (Inactive),Premacure AB,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,TRT-0045,3.8291136516208812
treatment,TRT-0045,Shire,2014,18,Inferred from observed priority-year range,245,EVT-27796271,2013,1,Shire plc (Inactive),Premacure AB,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,TRT-0045,3.584289651861328
treatment,TRT-0045,Shire,2015,8,Inferred from observed priority-year range,20,EVT-27796271,2013,2,Shire plc (Inactive),Premacure AB,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,TRT-0045,2.7764722807237177
treatment,TRT-0045,Shire,2016,6,Inferred from observed priority-year range,22,EVT-27796271,2013,3,Shire plc (Inactive),Premacure AB,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,TRT-0045,2.4917798526449118
treatment,TRT-0045,Shire,2017,11,Inferred from observed priority-year range,11,EVT-27796271,2013,4,Shire plc (Inactive),Premacure AB,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,TRT-0045,3.093102195050827
treatment,TRT-0045,Shire,2018,6,Inferred from observed priority-year range,12,EVT-27796271,2013,5,Shire plc (Inactive),Premacure AB,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,TRT-0045,2.4917798526449118
treatment,TRT-0045,Shire,2019,8,Inferred from observed priority-year range,29,EVT-27796271,2013,6,Shire plc (Inactive),Premacure AB,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,TRT-0045,2.7764722807237177
control,CTL-0298,Recordati Industria Chimica e Farmaceutica SpA,2016,3,Inferred from observed earliest-priority-year range,0,EVT-2D4C6B34,2012,4,Recordati S.p.A.,FarmaProjekt Sp. z o.o,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0298,1.8184464592320668
control,CTL-0298,Recordati Industria Chimica e Farmaceutica SpA,2017,1,Inferred from observed earliest-priority-year range,0,EVT-2D4C6B34,2012,5,Recordati S.p.A.,FarmaProjekt Sp. z o.o,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0298,0.881373587019543
control,CTL-0298,Recordati Industria Chimica e Farmaceutica SpA,2018,2,Inferred from observed earliest-priority-year range,0,EVT-2D4C6B34,2012,6,Recordati S.p.A.,FarmaProjekt Sp. z o.o,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0298,1.4436354751788103
control,CTL-0298,Recordati Industria Chimica e Farmaceutica SpA,2019,0,Inferred from observed earliest-priority-year range,0,EVT-2D4C6B34,2012,7,Recordati S.p.A.,FarmaProjekt Sp. z o.o,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0298,0.0
control,CTL-0298,Recordati Industria Chimica e Farmaceutica SpA,2020,0,Inferred from observed earliest-priority-year range,0,EVT-2D4C6B34,2012,8,Recordati S.p.A.,FarmaProjekt Sp. z o.o,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0298,0.0
control,CTL-0298,Recordati Industria Chimica e Farmaceutica SpA,2021,1,Inferred from observed earliest-priority-year range,0,EVT-2D4C6B34,2012,9,Recordati S.p.A.,FarmaProjekt Sp. z o.o,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0298,0.881373587019543
control,CTL-0264,Vectura Group Ltd,2011,4,Inferred from observed earliest-priority-year range,35,EVT-366076A1,2014,-3,Vectura Group Ltd,Vectura GmbH,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0263;CTL-0264,2.0947125472611012
control,CTL-0264,Vectura Group Ltd,2012,6,Inferred from observed earliest-priority-year range,19,EVT-366076A1,2014,-2,Vectura Group Ltd,Vectura GmbH,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0263;CTL-0264,2.4917798526449118
control,CTL-0264,Vectura Group Ltd,2013,5,Inferred from observed earliest-priority-year range,6,EVT-366076A1,2014,-1,Vectura Group Ltd,Vectura GmbH,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0263;CTL-0264,2.3124383412727525
control,CTL-0264,Vectura Group Ltd,2014,6,Inferred from observed earliest-priority-year range,20,EVT-366076A1,2014,0,Vectura Group Ltd,Vectura GmbH,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0263;CTL-0264,2.4917798526449118
control,CTL-0264,Vectura Group Ltd,2015,4,Inferred from observed earliest-priority-year range,2,EVT-366076A1,2014,1,Vectura Group Ltd,Vectura GmbH,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0263;CTL-0264,2.0947125472611012
control,CTL-0264,Vectura Group Ltd,2016,3,Inferred from observed earliest-priority-year range,0,EVT-366076A1,2014,2,Vectura Group Ltd,Vectura GmbH,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0263;CTL-0264,1.8184464592320668
control,CTL-0264,Vectura Group Ltd,2017,7,Inferred from observed earliest-priority-year range,25,EVT-366076A1,2014,3,Vectura Group Ltd,Vectura GmbH,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0263;CTL-0264,2.644120761058629
control,CTL-0264,Vectura Group Ltd,2018,3,Inferred from observed earliest-priority-year range,7,EVT-366076A1,2014,4,Vectura Group Ltd,Vectura GmbH,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0263;CTL-0264,1.8184464592320668
control,CTL-0264,Vectura Group Ltd,2019,4,Inferred from observed earliest-priority-year range,5,EVT-366076A1,2014,5,Vectura Group Ltd,Vectura GmbH,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0263;CTL-0264,2.0947125472611012
control,CTL-0264,Vectura Group Ltd,2020,6,Inferred from observed earliest-priority-year range,2,EVT-366076A1,2014,6,Vectura Group Ltd,Vectura GmbH,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0263;CTL-0264,2.4917798526449118
control,CTL-0264,Vectura Group Ltd,2021,3,Inferred from observed earliest-priority-year range,2,EVT-366076A1,2014,7,Vectura Group Ltd,Vectura GmbH,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0263;CTL-0264,1.8184464592320668
control,CTL-0279,Merz Pharma GmbH & Co. KGaA,2011,10,Inferred from observed earliest-priority-year range,24,EVT-491D983A,2013,-2,Merz Pharma GmbH & Co. KGaA,Neocutis S.A.,Alternative-rationale,High,Broader (majority control-transfer),0,0,1,CTL-0279,2.99822295029797
control,CTL-0279,Merz Pharma GmbH & Co. KGaA,2012,7,Inferred from observed earliest-priority-year range,37,EVT-491D983A,2013,-1,Merz Pharma GmbH & Co. KGaA,Neocutis S.A.,Alternative-rationale,High,Broader (majority control-transfer),0,0,1,CTL-0279,2.644120761058629
control,CTL-0279,Merz Pharma GmbH & Co. KGaA,2013,3,Inferred from observed earliest-priority-year range,6,EVT-491D983A,2013,0,Merz Pharma GmbH & Co. KGaA,Neocutis S.A.,Alternative-rationale,High,Broader (majority control-transfer),0,0,1,CTL-0279,1.8184464592320668
control,CTL-0279,Merz Pharma GmbH & Co. KGaA,2014,12,Inferred from observed earliest-priority-year range,15,EVT-491D983A,2013,1,Merz Pharma GmbH & Co. KGaA,Neocutis S.A.,Alternative-rationale,High,Broader (majority control-transfer),0,0,1,CTL-0279,3.179785437699879
control,CTL-0279,Merz Pharma GmbH & Co. KGaA,2015,8,Inferred from observed earliest-priority-year range,13,EVT-491D983A,2013,2,Merz Pharma GmbH & Co. KGaA,Neocutis S.A.,Alternative-rationale,High,Broader (majority control-transfer),0,0,1,CTL-0279,2.7764722807237177
control,CTL-0279,Merz Pharma GmbH & Co. KGaA,2016,6,Inferred from observed earliest-priority-year range,4,EVT-491D983A,2013,3,Merz Pharma GmbH & Co. KGaA,Neocutis S.A.,Alternative-rationale,High,Broader (majority control-transfer),0,0,1,CTL-0279,2.4917798526449118
control,CTL-0279,Merz Pharma GmbH & Co. KGaA,2017,6,Inferred from observed earliest-priority-year range,11,EVT-491D983A,2013,4,Merz Pharma GmbH & Co. KGaA,Neocutis S.A.,Alternative-rationale,High,Broader (majority control-transfer),0,0,1,CTL-0279,2.4917798526449118
control,CTL-0279,Merz Pharma GmbH & Co. KGaA,2018,7,Inferred from observed earliest-priority-year range,5,EVT-491D983A,2013,5,Merz Pharma GmbH & Co. KGaA,Neocutis S.A.,Alternative-rationale,High,Broader (majority control-transfer),0,0,1,CTL-0279,2.644120761058629
control,CTL-0279,Merz Pharma GmbH & Co. KGaA,2019,2,Inferred from observed earliest-priority-year range,1,EVT-491D983A,2013,6,Merz Pharma GmbH & Co. KGaA,Neocutis S.A.,Alternative-rationale,High,Broader (majority control-transfer),0,0,1,CTL-0279,1.4436354751788103
control,CTL-0279,Merz Pharma GmbH & Co. KGaA,2020,5,Inferred from observed earliest-priority-year range,13,EVT-491D983A,2013,7,Merz Pharma GmbH & Co. KGaA,Neocutis S.A.,Alternative-rationale,High,Broader (majority control-transfer),0,0,1,CTL-0279,2.3124383412727525
control,CTL-0279,Merz Pharma GmbH & Co. KGaA,2021,4,Inferred from observed earliest-priority-year range,5,EVT-491D983A,2013,8,Merz Pharma GmbH & Co. KGaA,Neocutis S.A.,Alternative-rationale,High,Broader (majority control-transfer),0,0,1,CTL-0279,2.0947125472611012
control,CTL-0279,Merz Pharma GmbH & Co. KGaA,2022,3,Inferred from observed earliest-priority-year range,0,EVT-491D983A,2013,9,Merz Pharma GmbH & Co. KGaA,Neocutis S.A.,Alternative-rationale,High,Broader (majority control-transfer),0,0,1,CTL-0279,1.8184464592320668
control,CTL-0207,Zambon SpA,2011,2,Inferred from observed earliest-priority-year range,0,EVT-4AA783E7,2015,-4,Zambon SpA,Nigaard Pharma AS,Alternative-rationale,Medium,Broader (majority control-transfer),0,0,1,CTL-0207,1.4436354751788103
control,CTL-0207,Zambon SpA,2012,0,Inferred from observed earliest-priority-year range,0,EVT-4AA783E7,2015,-3,Zambon SpA,Nigaard Pharma AS,Alternative-rationale,Medium,Broader (majority control-transfer),0,0,1,CTL-0207,0.0
control,CTL-0207,Zambon SpA,2013,3,Inferred from observed earliest-priority-year range,0,EVT-4AA783E7,2015,-2,Zambon SpA,Nigaard Pharma AS,Alternative-rationale,Medium,Broader (majority control-transfer),0,0,1,CTL-0207,1.8184464592320668
control,CTL-0207,Zambon SpA,2014,2,Inferred from observed earliest-priority-year range,0,EVT-4AA783E7,2015,-1,Zambon SpA,Nigaard Pharma AS,Alternative-rationale,Medium,Broader (majority control-transfer),0,0,1,CTL-0207,1.4436354751788103
control,CTL-0207,Zambon SpA,2015,0,Inferred from observed earliest-priority-year range,0,EVT-4AA783E7,2015,0,Zambon SpA,Nigaard Pharma AS,Alternative-rationale,Medium,Broader (majority control-transfer),0,0,1,CTL-0207,0.0
control,CTL-0207,Zambon SpA,2016,3,Inferred from observed earliest-priority-year range,4,EVT-4AA783E7,2015,1,Zambon SpA,Nigaard Pharma AS,Alternative-rationale,Medium,Broader (majority control-transfer),0,0,1,CTL-0207,1.8184464592320668
control,CTL-0207,Zambon SpA,2017,2,Inferred from observed earliest-priority-year range,0,EVT-4AA783E7,2015,2,Zambon SpA,Nigaard Pharma AS,Alternative-rationale,Medium,Broader (majority control-transfer),0,0,1,CTL-0207,1.4436354751788103
control,CTL-0207,Zambon SpA,2018,1,Inferred from observed earliest-priority-year range,0,EVT-4AA783E7,2015,3,Zambon SpA,Nigaard Pharma AS,Alternative-rationale,Medium,Broader (majority control-transfer),0,0,1,CTL-0207,0.881373587019543
control,CTL-0207,Zambon SpA,2019,1,Inferred from observed earliest-priority-year range,0,EVT-4AA783E7,2015,4,Zambon SpA,Nigaard Pharma AS,Alternative-rationale,Medium,Broader (majority control-transfer),0,0,1,CTL-0207,0.881373587019543
control,CTL-0207,Zambon SpA,2020,2,Inferred from observed earliest-priority-year range,0,EVT-4AA783E7,2015,5,Zambon SpA,Nigaard Pharma AS,Alternative-rationale,Medium,Broader (majority control-transfer),0,0,1,CTL-0207,1.4436354751788103
control,CTL-0207,Zambon SpA,2021,4,Inferred from observed earliest-priority-year range,0,EVT-4AA783E7,2015,6,Zambon SpA,Nigaard Pharma AS,Alternative-rationale,Medium,Broader (majority control-transfer),0,0,1,CTL-0207,2.0947125472611012
control,CTL-0281,Ipsen SA,2011,2,Inferred from observed earliest-priority-year range,6,EVT-4EFF0E8A,2013,-2,Ipsen S.A.,"Syntaxin, Ltd.",High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0281,1.4436354751788103
control,CTL-0281,Ipsen SA,2012,3,Inferred from observed earliest-priority-year range,0,EVT-4EFF0E8A,2013,-1,Ipsen S.A.,"Syntaxin, Ltd.",High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0281,1.8184464592320668
control,CTL-0281,Ipsen SA,2013,5,Inferred from observed earliest-priority-year range,10,EVT-4EFF0E8A,2013,0,Ipsen S.A.,"Syntaxin, Ltd.",High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0281,2.3124383412727525
control,CTL-0281,Ipsen SA,2014,1,Inferred from observed earliest-priority-year range,1,EVT-4EFF0E8A,2013,1,Ipsen S.A.,"Syntaxin, Ltd.",High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0281,0.881373587019543
control,CTL-0281,Ipsen SA,2015,3,Inferred from observed earliest-priority-year range,4,EVT-4EFF0E8A,2013,2,Ipsen S.A.,"Syntaxin, Ltd.",High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0281,1.8184464592320668
control,CTL-0281,Ipsen SA,2016,8,Inferred from observed earliest-priority-year range,1,EVT-4EFF0E8A,2013,3,Ipsen S.A.,"Syntaxin, Ltd.",High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0281,2.7764722807237177
control,CTL-0281,Ipsen SA,2017,2,Inferred from observed earliest-priority-year range,0,EVT-4EFF0E8A,2013,4,Ipsen S.A.,"Syntaxin, Ltd.",High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0281,1.4436354751788103
control,CTL-0281,Ipsen SA,2018,9,Inferred from observed earliest-priority-year range,2,EVT-4EFF0E8A,2013,5,Ipsen S.A.,"Syntaxin, Ltd.",High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0281,2.8934439858858716
control,CTL-0281,Ipsen SA,2019,5,Inferred from observed earliest-priority-year range,1,EVT-4EFF0E8A,2013,6,Ipsen S.A.,"Syntaxin, Ltd.",High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0281,2.3124383412727525
control,CTL-0281,Ipsen SA,2020,5,Inferred from observed earliest-priority-year range,4,EVT-4EFF0E8A,2013,7,Ipsen S.A.,"Syntaxin, Ltd.",High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0281,2.3124383412727525
control,CTL-0281,Ipsen SA,2021,4,Inferred from observed earliest-priority-year range,2,EVT-4EFF0E8A,2013,8,Ipsen S.A.,"Syntaxin, Ltd.",High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0281,2.0947125472611012
control,CTL-0281,Ipsen SA,2022,3,Inferred from observed earliest-priority-year range,0,EVT-4EFF0E8A,2013,9,Ipsen S.A.,"Syntaxin, Ltd.",High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0281,1.8184464592320668
control,CTL-0107,Vaxart Inc.,2014,2,Inferred from observed earliest-priority-year range,1,EVT-65D701BB,2018,-4,Vaxart Inc,Vaxart Inc; Vaxart Inc,Mixed / borderline,Medium,"Broader (merger, surviving entity)",0,0,0,CTL-0107,1.4436354751788103
control,CTL-0107,Vaxart Inc.,2015,1,Inferred from observed earliest-priority-year range,0,EVT-65D701BB,2018,-3,Vaxart Inc,Vaxart Inc; Vaxart Inc,Mixed / borderline,Medium,"Broader (merger, surviving entity)",0,0,0,CTL-0107,0.881373587019543
control,CTL-0107,Vaxart Inc.,2016,0,Inferred from observed earliest-priority-year range,0,EVT-65D701BB,2018,-2,Vaxart Inc,Vaxart Inc; Vaxart Inc,Mixed / borderline,Medium,"Broader (merger, surviving entity)",0,0,0,CTL-0107,0.0
control,CTL-0107,Vaxart Inc.,2017,0,Inferred from observed earliest-priority-year range,0,EVT-65D701BB,2018,-1,Vaxart Inc,Vaxart Inc; Vaxart Inc,Mixed / borderline,Medium,"Broader (merger, surviving entity)",0,0,0,CTL-0107,0.0
