deal_event_id,member_deal_ids,acquirer,target,acquirer_group,completion_year,Final_Classification,Eligibility,ambiguous_flag
EVT-2A7D056D,CTL-0273,Amdipharm Mercury Company Limited,Abcur AB,Amdipharm Mercury Company Limited,2013,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-5B8F53A2,CTL-0287,Amdipharm Mercury Company Limited,Mercury Pharma Group Ltd; Amdipharm Ltd,Amdipharm Mercury Company Limited,2013,Insufficient evidence (not data-carrying),"Broader (merger, surviving entity)",False
EVT-C562186C,CTL-0213,Amdipharm Mercury Company Limited,Primegen Ltd,Amdipharm Mercury Company Limited,2015,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-DDF46AD9,CTL-0154,Amphastar Pharmaceuticals Inc,International Medication Systems (UK) Ltd,Amphastar Pharmaceuticals Inc,2016,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-CB195734,CTL-0196,Amryt Pharma Plc,Amryt GmbH,Amryt Pharma Plc,2016,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-40747E4E,TRT-0007,Aphria Inc,CC Pharma GmbH,Aphria Inc,2019,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-74C381CD,CTL-0272,"Aratana Therapeutics, Inc.",Okapi Sciences NV,"Aratana Therapeutics, Inc.",2014,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-E9605D66,CTL-0115,Artivion Inc,JOTEC AG,Artivion Inc,2017,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-DDD8E325,CTL-0121,Ascelia Pharma AB,Oncoral Pharma ApS,Ascelia Pharma AB,2017,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-08F348DA,CTL-0019,Ascenion GmbH; IFB Innovationsstarter GmbH (Innovationsstarter Hamburg GmbH),PROVIREX Genome Editing Therapies GmbH,Ascenion GmbH; IFB Innovationsstarter GmbH (Innovationsstarter Hamburg GmbH),2020,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-BDCB1CF6,CTL-0020,Asklepios BioPharmaceutical Inc,Brainvectis SAS,Asklepios BioPharmaceutical Inc,2020,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-EB685F9E,CTL-0248,Assistances Medicales Specialisees,ASDIA,Assistances Medicales Specialisees,2014,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-B8594FED,CTL-0021,Astellas Pharma Europe Ltd,Nanna Therapeutics Ltd,Astellas Pharma Europe Ltd,2020,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-8866D4CE,TRT-0014,Astellas Pharma Inc,Ogeda SA,Astellas Pharma Inc,2017,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-B4E8CB8B,CTL-0078,Astellas Pharma Inc,Quethera Ltd,Astellas Pharma Inc,2018,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-AF8DAFF3,CTL-0216,Augment Investments Limited (Inactive),Pharmstandard,Augment Investments Limited (Inactive),2015,Insufficient evidence (not data-carrying),Ineligible,False
EVT-89DDD0FB,CTL-0160,Augment Investments Limited (Inactive),Pharmstandard,Augment Investments Limited (Inactive),2016,Insufficient evidence (not data-carrying),Ineligible,False
EVT-7211E295,CTL-0164,Augment Investments Limited (Inactive),Pharmstandard,Augment Investments Limited (Inactive),2016,Insufficient evidence (not data-carrying),Ineligible,False
EVT-A504924F,CTL-0156,AUR Portfolio III SE & Co KgaA,The Hospital Group,AUR Portfolio III SE & Co KgaA,2016,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-A4AD70BD,TRT-0032,Auspex Pharmaceuticals Inc,imphar AG,Auspex Pharmaceuticals Inc,2015,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-469B2A0D,CTL-0165,Avadel Pharmaceuticals Plc,Avadel Pharmaceuticals Plc; Flamel Technologies SA (Inactive),Avadel Pharmaceuticals Plc,2017,Insufficient evidence (not data-carrying),"Broader (merger, surviving entity)",False
EVT-81007800,CTL-0046,B. Braun Avitum AG,Nephtec GmbH,B. Braun Avitum AG,2019,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-4BDD981F,CTL-0296,BASF AS,Pronova Biopharma Norway As (Inactive),BASF AS,2013,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-0DBB057C,CTL-0274,Bayer AG,Algeta ASA (Inactive),Bayer AG,2014,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-14ABDCD2,CTL-0011,Bayer AG,KaNDy Therapeutics Ltd,Bayer AG,2020,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-14785CCE,CTL-0014,BBI Group Holding Ltd (Inactive),Diarect AG,BBI Group Holding Ltd (Inactive),2020,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-733EAF3C,CTL-0169,Bio-Gate Ag,BioEpiderm GmbH,Bio-Gate Ag,2016,Insufficient evidence (not data-carrying),Ineligible,False
EVT-FF12A4BD,CTL-0031,Biocodex,Iprad Sante SA,Biocodex,2020,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-ADD6C92A,TRT-0043,Biodexa Ltd,"Q Chip, Ltd.",Biodexa Ltd,2014,High-confidence innovation-driven,Broader (majority control-transfer),False
EVT-A039DC41,TRT-0027,BioGaia AB,MetaboGen AB,BioGaia AB,2015,Insufficient evidence (not data-carrying),Ineligible,False
EVT-587CC31A,TRT-0020,BioGaia AB,MetaboGen AB,BioGaia AB,2016,Insufficient evidence (not data-carrying),Ineligible,False
EVT-053455F1,CTL-0237,Biogen Inc,Convergence Pharmaceuticals Ltd,Biogen Inc,2015,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-E2B48023,CTL-0238,"Biogen, Inc.",Convergence Pharmaceuticals Holdings Limited,"Biogen, Inc.",2015,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-058183FC,CTL-0058,Biogen Inc,Nightstar Therapeutics PLC (Inactive),Biogen Inc,2019,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-86E2C981,TRT-0016,BioLineRx Ltd,Agalimmune Ltd,BioLineRx Ltd,2017,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-9D55DA21,CTL-0044,Boehringer Ingelheim International GmbH,Amal Therapeutics SA,Boehringer Ingelheim International GmbH,2019,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-53EFD1A8,CTL-0056,Boehringer Ingelheim International GmbH,ICD Therapeutics GmbH,Boehringer Ingelheim International GmbH,2019,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-B70F64B8,CTL-0074,Boehringer Ingelheim International GmbH,ViraTherapeutics GmbH,Boehringer Ingelheim International GmbH,2018,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-BA695A8C,CTL-0092,Boston Scientific Corp,Emcision Ltd (Inactive),Boston Scientific Corp,2018,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-C2AC891E,TRT-0015,Boston Scientific Corp,Symetis SA (Inactive),Boston Scientific Corp,2017,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-78C1CE70,TRT-0006,Bravo Bidco Ltd,BTG Ltd,Bravo Bidco Ltd,2019,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-E0AB38CD,CTL-0151,Busy Bees Nurseries Ltd,The Teddy Bear Club Nursery,Busy Bees Nurseries Ltd,2016,Ineligible transaction,Ineligible,False
EVT-31C70D4F,CTL-0175,C4X Discovery Holdings Limited,Adorial Ltd,C4X Discovery Holdings Limited,2016,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-2F495680,TRT-0033,Cadila Pharmaceuticals Sweden AB,BioChromix NewCo AB,Cadila Pharmaceuticals Sweden AB,2014,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-0B3A18AB,TRT-0019,Calliditas Therapeutics France SAS,Calliditas Therapeutics France SAS; Calliditas Therapeutics France SAS,Calliditas Therapeutics France SAS,2017,Insufficient evidence (not data-carrying),"Broader (merger, surviving entity)",False
EVT-55D6C790,CTL-0042,Canopy Growth Corp,Beckley Canopy Therapeutics Ltd,Canopy Growth Corp,2019,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-471FA9F5,CTL-0289,Care UK Ltd,Care Uk (UKSH) Ltd,Care UK Ltd,2013,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-A9EC439F,CTL-0303,CareFusion Corp,It’s Interventional Ltd,CareFusion Corp,2012,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-2E901FFA,CTL-0157,Cell Medica Limited,Delenex Therapeutics AG (Inactive),Cell Medica Limited,2016,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-4F4EB61E,CTL-0300,CFAO SA,Missionpharma AS,CFAO SA,2012,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-BA86463E,CTL-0262,"Charles River Laboratories International, Inc.",Argenta Discovery 2009 Ltd (Inactive); BioFocus DPI Limited,"Charles River Laboratories International, Inc.",2014,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-7BB4B0E7,CTL-0059,Charles River Laboratories International Inc,CiToxLAB Group,Charles River Laboratories International Inc,2019,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-7A41CAF3,CTL-0097,Charles River Laboratories International Inc,KWS BioTest Ltd,Charles River Laboratories International Inc,2018,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-42742E3A,CTL-0191,"Charles River Laboratories International, Inc.",Oncotest GmbH,"Charles River Laboratories International, Inc.",2015,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-5E9A51EB,CTL-0027,Chilcott UK Ltd,POA Pharma Scandinavia AB,Chilcott UK Ltd,2020,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-549EB4B2,CTL-0076,"China Grand Enterprises, Inc.; Huadong Medicine Co Ltd",Sinclair Pharma Ltd,"China Grand Enterprises, Inc.; Huadong Medicine Co Ltd",2018,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-7B0CE9F3,TRT-0028,Chinook Therapeutics Inc,BioNovion Holding B.V.,Aduro/Chinook,2015,High-confidence innovation-driven,Strict (100%),True
EVT-77F1841C,CTL-0251,Cilag GmbH International,Covagen AG (Inactive),Cilag GmbH International,2014,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-820E8D97,CTL-0211,Circio Holding ASA,Targovax Oy (Inactive); Circio Holding ASA,Circio Holding ASA,2015,Insufficient evidence (not data-carrying),"Broader (merger, surviving entity)",False
EVT-3025942C,CTL-0072,Clinigen Ltd,iQone Healthcare Switzerland,Clinigen Ltd,2018,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-6329E4B0,CTL-0126,Clinigen Ltd,Quantum Pharmaceutical Ltd,Clinigen Ltd,2017,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-876ACED6,CTL-0009,COC Farmaceutici Srl,Tubilux Pharma SpA,COC Farmaceutici Srl,2020,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-028DE2BC,CTL-0108,Concept Life Sciences Ltd,Aquila BioMedical Ltd,Concept Life Sciences Ltd,2017,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-3AF96138,TRT-0036,Correvio Pharma Corp.,Correvio International Sarl,Correvio Pharma Corp.,2013,Alternative-rationale,Strict (100%),False
EVT-4A79CF74,CTL-0166,Creat Group Corp,Bio Products Laboratory Ltd,Creat Group Corp,2016,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-574B6BDE,CTL-0205,Curia Global Inc,Gadea Grupo Farmaceutico SL,Curia Global Inc,2015,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-75242BFF,CTL-0100,Curida AS,As Produksjonslab AS,Curida AS,2018,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-803D506D,CTL-0030,Curium Holding France SAS,MAP Medical Technologies Oy,Curium Holding France SAS,2019,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-F19A0329,CTL-0088,Deinove SAS,Morphochem AG; Biovertis AG,Deinove SAS,2018,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-9EF1F397,CTL-0147,Delivra Health Brands Inc,Satipharm AG; United Greeneries Holdings Ltd,Delivra Health Brands Inc,2017,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-99C6A82A,CTL-0025,Dermapharm Holding SE,Allergopharma GmbH & Co KG,Dermapharm Holding SE,2020,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-5D0C5D28,CTL-0301,Dermapharm AG,axicorp GmbH,Dermapharm AG,2012,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-E178449A,CTL-0099,Dermapharm AG,Strathmann GmbH & Co KG,Dermapharm AG,2018,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-F14E1E09,CTL-0137,Diamyd Medical AB,NextCell Pharma AB,Diamyd Medical AB,2017,Insufficient evidence (not data-carrying),Ineligible,False
EVT-3BC97C16,CTL-0102,DSM-Firmenich AG,Biocare Copenhagen AS,DSM-Firmenich AG,2017,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-89AFEDB6,CTL-0040,Emeis SA,Groupe Sinoue,Emeis SA,2019,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-17457F43,CTL-0077,Emergent BioSolutions Inc,Adapt Pharma Ltd,Emergent BioSolutions Inc,2018,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-A36C3881,CTL-0001,Emmes Corp,Neox sro,Emmes Corp,2020,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-1E3BB8DE,TRT-0041,Enara Limited,Angel Care Services UK Ltd,Enara Limited,2012,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-30CE8599,CTL-0118,Ergomed Group Ltd,Ergomed BV,Ergomed Group Ltd,2017,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-105D176F,TRT-0044,Esteve Pharmaceuticals SA,ESTEVE Pharmaceuticals GmbH,Esteve Pharmaceuticals SA,2020,Alternative-rationale,Strict (100%),False
EVT-CAB0E0C4,CTL-0198,Ethypharm S.A,Ethypharm UK Ltd,Ethypharm S.A,2015,Alternative-rationale,Strict (100%),False
EVT-7B81B06D,CTL-0081,Eurobio Scientific SA,Dendritics,Eurobio Scientific SA,2018,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-FE6A4C65,CTL-0113,Eurocept Pharmaceuticals,Lucane Pharma SA,Eurocept Pharmaceuticals,2017,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-987DB496,TRT-0039,Eurofins Scientific SE,AROS Applied Biotechnology AS,Eurofins Scientific SE,2013,Alternative-rationale,Broader (majority control-transfer),False
EVT-BA07C9B6,CTL-0095,Eurofins Scientific SE,Eurofins Selcia Ltd,Eurofins Scientific SE,2018,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-BBB16B30,CTL-0050,EVER Neuro Pharma GmbH,EVER Pharma GmbH,EVER Neuro Pharma GmbH,2019,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-C60A30DD,CTL-0112,EVER Neuro Pharma GmbH,"PHARMAGEN CZ, sro",EVER Neuro Pharma GmbH,2017,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-85CC2A02,CTL-0254,Evotec SE,Evotec (UK) Ltd,Evotec SE,2014,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-FE11E9C9,CTL-0117,Evotec SE,Exscientia Plc,Evotec SE,2017,Insufficient evidence (not data-carrying),Ineligible,False
EVT-9C1990C9,CTL-0234,F. Hoffmann-La Roche Ltd,Trophos SA,Roche,2015,High-confidence innovation-driven,Strict (100%),False
EVT-1955B15F,CTL-0071,F. Hoffmann-La Roche Ltd,Tusk Therapeutics Ltd,Roche,2018,High-confidence innovation-driven,Strict (100%),False
EVT-86C5A526,CTL-0086,Flash Therapeutics SAS,Vectalys SAS (Inactive); FlashCell SAS (Inactive),Flash Therapeutics SAS,2018,Insufficient evidence (not data-carrying),"Broader (merger, surviving entity)",False
EVT-0E4FBF23,CTL-0110,Fosun Pharmaceutical AG,Tridem Pharma,Fosun Pharmaceutical AG,2017,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-B5B51633,CTL-0282,Fuhrer Family,Neovii Biotech GmbH,Fuhrer Family,2013,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-CA9C210A,CTL-0065,Fuji Pharma Co Ltd,Alvotech SA,Fuji Pharma Co Ltd,2018,Insufficient evidence (not data-carrying),Ineligible,False
EVT-CA4DACC7,CTL-0255,FutureLife a.s,"Gyncentrum, S.R.O.",FutureLife a.s,2014,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-7160F863,CTL-0085,GammaDelta Therapeutics Ltd,Lymphocyte Activation Technologies SA,GammaDelta Therapeutics Ltd,2018,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-A21CDE5B,CTL-0148,Genesis Care Pty Ltd,OncoSur Group,Genesis Care Pty Ltd,2016,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-AA4A50BC,CTL-0119,genOway SA,AXENIS SAS,genOway SA,2017,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-57932312,CTL-0189,GROUPE SYNERLAB,Synerlab Group,GROUPE SYNERLAB,2015,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-7C587316,CTL-0229,GSK plc,GlycoVaxyn AG (Inactive),GSK,2015,High-confidence innovation-driven,Broader (majority control-transfer),False
EVT-C0FD3AA5,TRT-0038,GSK plc.,ReiThera Srl,GSK,2013,High-confidence innovation-driven,Broader (majority control-transfer),False
EVT-C566683F,TRT-0004,Gyroscope Therapeutics Holdings Plc,Orbit Biomedical Inc; Gyroscope Therapeutics Holdings Plc,Gyroscope Therapeutics Holdings Plc,2019,Insufficient evidence (not data-carrying),"Broader (merger, surviving entity)",False
EVT-DA8631CB,CTL-0146,Heptares Therapeutics Ltd,G7 Therapeutics AG,Heptares Therapeutics Ltd,2016,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-871D2E22,CTL-0258,Herantis Pharma Plc,Laurantis Pharma Oy; Hermo Pharma Oy Ltd; Herantis Pharma Plc,Herantis Pharma Plc,2014,Insufficient evidence (not data-carrying),"Broader (merger, surviving entity)",False
EVT-C74EB5E0,CTL-0041,Hero Wellbeing Ltd,The Balanced You,Hero Wellbeing Ltd,2019,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-A85D59BA,CTL-0068,HiFiBiO SAS,H-Immune SAS,HiFiBiO SAS,2018,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-780FC2E8,CTL-0203,Hikma Pharmaceuticals PLC,"Roxane Laboratories, Inc. (formerly Philips Roxane); Boehringer Ingelheim Roxane, Inc.",Hikma Pharmaceuticals PLC,2016,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-EE784FDD,CTL-0240,Horizon Discovery Group Ltd,Haplogen GmbH,Horizon Discovery Group Ltd,2015,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-A45F4276,CTL-0261,Horizon Therapeutics Plc.,Vidara Therapeutics International Limited,Horizon Therapeutics Plc.,2014,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-28C43D28,CTL-0295,Hospiten Gestion,MD Anderson International Espana SA,Hospiten Gestion,2012,Insufficient evidence (not data-carrying),Ineligible,False
EVT-E6D515EF,CTL-0297,"Illumina, Inc.",BlueGnome Ltd,"Illumina, Inc.",2012,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-A82D3DEC,CTL-0062,Immunic Inc,Immunic AG,Immunic Inc,2019,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-A14CAAAC,CTL-0247,Immutep Limited,Immutep SA,Immutep Limited,2014,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-93A754BF,TRT-0012,Impilo AB,Ferrosan Medical Devices AS,Impilo AB,2017,Insufficient evidence (not data-carrying),Ineligible,False
EVT-ADFC914C,CTL-0265,Incanthera Plc,Onco-NX Ltd,Incanthera Plc,2014,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-5F84779B,CTL-0233,Incanthera Plc,Spear Therapeutics,Incanthera Plc,2015,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-99A24F9A,TRT-0008,Ingenza Ltd,Amprologix Ltd,Ingenza Ltd,2018,Insufficient evidence (not data-carrying),Ineligible,False
EVT-C7237939,CTL-0204,Innokeys Pte Ltd,Oncoscience GmbH,Innokeys Pte Ltd,2015,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-2C139BE5,CTL-0122,Invicro LLC,Imanova Ltd,Invicro LLC,2017,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-4EFF0E8A,CTL-0281,Ipsen S.A.,"Syntaxin, Ltd.",Ipsen S.A.,2013,High-confidence innovation-driven,Broader (majority control-transfer),False
EVT-9AEC6A35,CTL-0190,IXICO Plc,Optimal Medicine Ltd,IXICO Plc,2015,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-2ACC4BF5,CTL-0171,Jazz Pharmaceuticals Plc,Alize Pharma II SAS,Jazz Pharmaceuticals Plc,2016,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-3FB033BA,CTL-0139,Johnson & Johnson,Actelion Pharmaceuticals Ltd,Johnson & Johnson,2017,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-06CBD95C,CTL-0012,JRH ASI SA,Helix Immuno-Oncology SA,JRH ASI SA,2020,Insufficient evidence (not data-carrying),Ineligible,False
EVT-68CFDAA8,TRT-0022,Kalvista Pharmaceuticals Inc,Kalvista Pharmaceuticals Ltd,Kalvista Pharmaceuticals Inc,2016,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-5B794750,CTL-0124,Karo Healthcare AB,Weifa ASA,Karo Healthcare AB,2017,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-F56334B8,CTL-0223,Kite Pharma Inc,T-Cell Factory B.V.,Kite Pharma Inc,2015,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-4F61348A,CTL-0034,Klaria Pharma Holding AB,Karessa Pharma Holding AB (Inactive); Klaria Pharma Holding AB,Klaria Pharma Holding AB,2020,Insufficient evidence (not data-carrying),"Broader (merger, surviving entity)",False
EVT-9B706213,CTL-0033,Klaria Pharma Holding AB,Uppsalagruppen Medical AB,Klaria Pharma Holding AB,2019,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-8AABE049,CTL-0013,Kreditanstalt fur Wiederaufbau,Curevac NV,Kreditanstalt fur Wiederaufbau,2020,Insufficient evidence (not data-carrying),Ineligible,False
EVT-08171155,TRT-0013,Kuur Therapeutics Ltd,Cell Medica TCR Ltd,Kuur Therapeutics Ltd,2017,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-529B2A43,CTL-0026,Laboratoires Equilibre Attitude,Labcatal,Laboratoires Equilibre Attitude,2020,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-6D1D3934,CTL-0123,Laboratorios Cinfa SA,Orliman SLU,Laboratorios Cinfa SA,2017,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-9188FA70,TRT-0001,Les Laboratoires Servier SAS,Symphogen A/S,Les Laboratoires Servier SAS,2020,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-53A0A4E4,CTL-0045,LifeSpan Biosciences Inc,Nordic-MUbio BV,LifeSpan Biosciences Inc,2019,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-384D7FB1,CTL-0231,Linical Americas,Altair Clinical Ltd,Linical Americas,2015,Insufficient evidence (not data-carrying),Broader (majority control-transfer),False
EVT-4A136C06,CTL-0003,Link Medical Research AS,IRW Consulting AB,Link Medical Research AS,2020,Insufficient evidence (not data-carrying),Strict (100%),False
EVT-B234CA77,CTL-0032,Linnane Pharma AB,SelectImmune Pharma AB (Inactive),Linnane Pharma AB,2019,Insufficient evidence (not data-carrying),Ineligible,False
