src,deal_id,Company_or_Group,priority_year,patent_families,Coverage_Basis,citations,deal_event_id,completion_year,RelativeYear,acquirer,target,Final_Classification,Classification_Confidence,Eligibility,InnovationDeal,is_primary_innovation,is_alternative,member_deal_ids,asinh_families,acquirer_group,Post,treat,TreatPost
treatment,TRT-0045,Shire,2011,15,Inferred from observed priority-year range,159,EVT-27796271,2013,-2,Shire plc (Inactive),Premacure AB,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,TRT-0045,3.4023066454805946,Shire plc (Inactive),0,1,0
treatment,TRT-0045,Shire,2012,13,Inferred from observed priority-year range,241,EVT-27796271,2013,-1,Shire plc (Inactive),Premacure AB,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,TRT-0045,3.2595725562629214,Shire plc (Inactive),0,1,0
treatment,TRT-0045,Shire,2014,18,Inferred from observed priority-year range,245,EVT-27796271,2013,1,Shire plc (Inactive),Premacure AB,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,TRT-0045,3.584289651861328,Shire plc (Inactive),1,1,1
treatment,TRT-0045,Shire,2015,8,Inferred from observed priority-year range,20,EVT-27796271,2013,2,Shire plc (Inactive),Premacure AB,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,TRT-0045,2.7764722807237177,Shire plc (Inactive),1,1,1
treatment,TRT-0045,Shire,2016,6,Inferred from observed priority-year range,22,EVT-27796271,2013,3,Shire plc (Inactive),Premacure AB,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,TRT-0045,2.491779852644912,Shire plc (Inactive),1,1,1
control,CTL-0264,Vectura Group Ltd,2011,4,Inferred from observed earliest-priority-year range,35,EVT-366076A1,2014,-3,Vectura Group Ltd,Vectura GmbH,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0263;CTL-0264,2.094712547261101,Vectura,0,1,0
control,CTL-0264,Vectura Group Ltd,2012,6,Inferred from observed earliest-priority-year range,19,EVT-366076A1,2014,-2,Vectura Group Ltd,Vectura GmbH,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0263;CTL-0264,2.491779852644912,Vectura,0,1,0
control,CTL-0264,Vectura Group Ltd,2013,5,Inferred from observed earliest-priority-year range,6,EVT-366076A1,2014,-1,Vectura Group Ltd,Vectura GmbH,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0263;CTL-0264,2.3124383412727525,Vectura,0,1,0
control,CTL-0264,Vectura Group Ltd,2015,4,Inferred from observed earliest-priority-year range,2,EVT-366076A1,2014,1,Vectura Group Ltd,Vectura GmbH,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0263;CTL-0264,2.094712547261101,Vectura,1,1,1
control,CTL-0264,Vectura Group Ltd,2016,3,Inferred from observed earliest-priority-year range,0,EVT-366076A1,2014,2,Vectura Group Ltd,Vectura GmbH,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0263;CTL-0264,1.8184464592320668,Vectura,1,1,1
control,CTL-0264,Vectura Group Ltd,2017,7,Inferred from observed earliest-priority-year range,25,EVT-366076A1,2014,3,Vectura Group Ltd,Vectura GmbH,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0263;CTL-0264,2.644120761058629,Vectura,1,1,1
control,CTL-0279,Merz Pharma GmbH & Co. KGaA,2011,10,Inferred from observed earliest-priority-year range,24,EVT-491D983A,2013,-2,Merz Pharma GmbH & Co. KGaA,Neocutis S.A.,Alternative-rationale,High,Broader (majority control-transfer),0,0,1,CTL-0279,2.99822295029797,Merz Pharma GmbH & Co. KGaA,0,0,0
control,CTL-0279,Merz Pharma GmbH & Co. KGaA,2012,7,Inferred from observed earliest-priority-year range,37,EVT-491D983A,2013,-1,Merz Pharma GmbH & Co. KGaA,Neocutis S.A.,Alternative-rationale,High,Broader (majority control-transfer),0,0,1,CTL-0279,2.644120761058629,Merz Pharma GmbH & Co. KGaA,0,0,0
control,CTL-0279,Merz Pharma GmbH & Co. KGaA,2014,12,Inferred from observed earliest-priority-year range,15,EVT-491D983A,2013,1,Merz Pharma GmbH & Co. KGaA,Neocutis S.A.,Alternative-rationale,High,Broader (majority control-transfer),0,0,1,CTL-0279,3.179785437699879,Merz Pharma GmbH & Co. KGaA,1,0,0
control,CTL-0279,Merz Pharma GmbH & Co. KGaA,2015,8,Inferred from observed earliest-priority-year range,13,EVT-491D983A,2013,2,Merz Pharma GmbH & Co. KGaA,Neocutis S.A.,Alternative-rationale,High,Broader (majority control-transfer),0,0,1,CTL-0279,2.7764722807237177,Merz Pharma GmbH & Co. KGaA,1,0,0
control,CTL-0279,Merz Pharma GmbH & Co. KGaA,2016,6,Inferred from observed earliest-priority-year range,4,EVT-491D983A,2013,3,Merz Pharma GmbH & Co. KGaA,Neocutis S.A.,Alternative-rationale,High,Broader (majority control-transfer),0,0,1,CTL-0279,2.491779852644912,Merz Pharma GmbH & Co. KGaA,1,0,0
control,CTL-0207,Zambon SpA,2012,0,Inferred from observed earliest-priority-year range,0,EVT-4AA783E7,2015,-3,Zambon SpA,Nigaard Pharma AS,Alternative-rationale,Medium,Broader (majority control-transfer),0,0,1,CTL-0207,0.0,Zambon SpA,0,0,0
control,CTL-0207,Zambon SpA,2013,3,Inferred from observed earliest-priority-year range,0,EVT-4AA783E7,2015,-2,Zambon SpA,Nigaard Pharma AS,Alternative-rationale,Medium,Broader (majority control-transfer),0,0,1,CTL-0207,1.8184464592320668,Zambon SpA,0,0,0
control,CTL-0207,Zambon SpA,2014,2,Inferred from observed earliest-priority-year range,0,EVT-4AA783E7,2015,-1,Zambon SpA,Nigaard Pharma AS,Alternative-rationale,Medium,Broader (majority control-transfer),0,0,1,CTL-0207,1.4436354751788103,Zambon SpA,0,0,0
control,CTL-0207,Zambon SpA,2016,3,Inferred from observed earliest-priority-year range,4,EVT-4AA783E7,2015,1,Zambon SpA,Nigaard Pharma AS,Alternative-rationale,Medium,Broader (majority control-transfer),0,0,1,CTL-0207,1.8184464592320668,Zambon SpA,1,0,0
control,CTL-0207,Zambon SpA,2017,2,Inferred from observed earliest-priority-year range,0,EVT-4AA783E7,2015,2,Zambon SpA,Nigaard Pharma AS,Alternative-rationale,Medium,Broader (majority control-transfer),0,0,1,CTL-0207,1.4436354751788103,Zambon SpA,1,0,0
control,CTL-0207,Zambon SpA,2018,1,Inferred from observed earliest-priority-year range,0,EVT-4AA783E7,2015,3,Zambon SpA,Nigaard Pharma AS,Alternative-rationale,Medium,Broader (majority control-transfer),0,0,1,CTL-0207,0.881373587019543,Zambon SpA,1,0,0
control,CTL-0281,Ipsen SA,2011,2,Inferred from observed earliest-priority-year range,6,EVT-4EFF0E8A,2013,-2,Ipsen S.A.,"Syntaxin, Ltd.",High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0281,1.4436354751788103,Ipsen S.A.,0,1,0
control,CTL-0281,Ipsen SA,2012,3,Inferred from observed earliest-priority-year range,0,EVT-4EFF0E8A,2013,-1,Ipsen S.A.,"Syntaxin, Ltd.",High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0281,1.8184464592320668,Ipsen S.A.,0,1,0
control,CTL-0281,Ipsen SA,2014,1,Inferred from observed earliest-priority-year range,1,EVT-4EFF0E8A,2013,1,Ipsen S.A.,"Syntaxin, Ltd.",High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0281,0.881373587019543,Ipsen S.A.,1,1,1
control,CTL-0281,Ipsen SA,2015,3,Inferred from observed earliest-priority-year range,4,EVT-4EFF0E8A,2013,2,Ipsen S.A.,"Syntaxin, Ltd.",High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0281,1.8184464592320668,Ipsen S.A.,1,1,1
control,CTL-0281,Ipsen SA,2016,8,Inferred from observed earliest-priority-year range,1,EVT-4EFF0E8A,2013,3,Ipsen S.A.,"Syntaxin, Ltd.",High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0281,2.7764722807237177,Ipsen S.A.,1,1,1
control,CTL-0064,Recordati Industria Chimica e Farmaceutica SpA,2016,3,Inferred from observed earliest-priority-year range,0,EVT-694CD1B6,2018,-2,Recordati SpA,Laboratoires Tonipharm,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0064,1.8184464592320668,Recordati,0,0,0
control,CTL-0064,Recordati Industria Chimica e Farmaceutica SpA,2017,1,Inferred from observed earliest-priority-year range,0,EVT-694CD1B6,2018,-1,Recordati SpA,Laboratoires Tonipharm,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0064,0.881373587019543,Recordati,0,0,0
control,CTL-0064,Recordati Industria Chimica e Farmaceutica SpA,2019,0,Inferred from observed earliest-priority-year range,0,EVT-694CD1B6,2018,1,Recordati SpA,Laboratoires Tonipharm,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0064,0.0,Recordati,1,0,0
control,CTL-0064,Recordati Industria Chimica e Farmaceutica SpA,2020,0,Inferred from observed earliest-priority-year range,0,EVT-694CD1B6,2018,2,Recordati SpA,Laboratoires Tonipharm,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0064,0.0,Recordati,1,0,0
control,CTL-0064,Recordati Industria Chimica e Farmaceutica SpA,2021,1,Inferred from observed earliest-priority-year range,0,EVT-694CD1B6,2018,3,Recordati SpA,Laboratoires Tonipharm,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0064,0.881373587019543,Recordati,1,0,0
control,CTL-0230,Roche Holding AG,2012,16,Inferred from observed earliest-priority-year range,149,EVT-8E275CCB,2015,-3,Roche Holding AG,Signature Diagnostics GmbH,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0230,3.466711037884725,Roche,0,1,0
control,CTL-0230,Roche Holding AG,2013,6,Inferred from observed earliest-priority-year range,209,EVT-8E275CCB,2015,-2,Roche Holding AG,Signature Diagnostics GmbH,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0230,2.491779852644912,Roche,0,1,0
control,CTL-0230,Roche Holding AG,2014,0,Inferred from observed earliest-priority-year range,0,EVT-8E275CCB,2015,-1,Roche Holding AG,Signature Diagnostics GmbH,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0230,0.0,Roche,0,1,0
control,CTL-0230,Roche Holding AG,2016,0,Inferred from observed earliest-priority-year range,0,EVT-8E275CCB,2015,1,Roche Holding AG,Signature Diagnostics GmbH,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0230,0.0,Roche,1,1,1
control,CTL-0230,Roche Holding AG,2017,0,Inferred from observed earliest-priority-year range,0,EVT-8E275CCB,2015,2,Roche Holding AG,Signature Diagnostics GmbH,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0230,0.0,Roche,1,1,1
control,CTL-0230,Roche Holding AG,2018,0,Inferred from observed earliest-priority-year range,0,EVT-8E275CCB,2015,3,Roche Holding AG,Signature Diagnostics GmbH,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,CTL-0230,0.0,Roche,1,1,1
treatment,TRT-0038,GSK,2011,1,Inferred from observed priority-year range,0,EVT-C0FD3AA5,2013,-2,GSK plc.,ReiThera Srl,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,TRT-0038,0.881373587019543,GSK,0,1,0
treatment,TRT-0038,GSK,2012,0,Inferred from observed priority-year range,0,EVT-C0FD3AA5,2013,-1,GSK plc.,ReiThera Srl,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,TRT-0038,0.0,GSK,0,1,0
treatment,TRT-0038,GSK,2014,1,Inferred from observed priority-year range,0,EVT-C0FD3AA5,2013,1,GSK plc.,ReiThera Srl,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,TRT-0038,0.881373587019543,GSK,1,1,1
treatment,TRT-0038,GSK,2015,2,Inferred from observed priority-year range,1,EVT-C0FD3AA5,2013,2,GSK plc.,ReiThera Srl,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,TRT-0038,1.4436354751788103,GSK,1,1,1
treatment,TRT-0038,GSK,2016,6,Inferred from observed priority-year range,18,EVT-C0FD3AA5,2013,3,GSK plc.,ReiThera Srl,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,TRT-0038,2.491779852644912,GSK,1,1,1
control,CTL-0198,Ethypharm SAS,2012,3,Inferred from observed earliest-priority-year range,0,EVT-CAB0E0C4,2015,-3,Ethypharm S.A,Ethypharm UK Ltd,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0198,1.8184464592320668,Ethypharm S.A,0,0,0
control,CTL-0198,Ethypharm SAS,2013,1,Inferred from observed earliest-priority-year range,3,EVT-CAB0E0C4,2015,-2,Ethypharm S.A,Ethypharm UK Ltd,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0198,0.881373587019543,Ethypharm S.A,0,0,0
control,CTL-0198,Ethypharm SAS,2014,1,Inferred from observed earliest-priority-year range,0,EVT-CAB0E0C4,2015,-1,Ethypharm S.A,Ethypharm UK Ltd,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0198,0.881373587019543,Ethypharm S.A,0,0,0
control,CTL-0198,Ethypharm SAS,2016,0,Inferred from observed earliest-priority-year range,0,EVT-CAB0E0C4,2015,1,Ethypharm S.A,Ethypharm UK Ltd,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0198,0.0,Ethypharm S.A,1,0,0
control,CTL-0198,Ethypharm SAS,2017,0,Inferred from observed earliest-priority-year range,0,EVT-CAB0E0C4,2015,2,Ethypharm S.A,Ethypharm UK Ltd,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0198,0.0,Ethypharm S.A,1,0,0
control,CTL-0198,Ethypharm SAS,2018,0,Inferred from observed earliest-priority-year range,0,EVT-CAB0E0C4,2015,3,Ethypharm S.A,Ethypharm UK Ltd,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0198,0.0,Ethypharm S.A,1,0,0
control,CTL-0005,UCB SA,2017,27,Inferred from observed earliest-priority-year range,107,EVT-F32E3250,2020,-3,UCB SA,Handl Therapeutics,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0005,3.989326805819546,UCB SA,0,1,0
control,CTL-0005,UCB SA,2018,15,Inferred from observed earliest-priority-year range,5,EVT-F32E3250,2020,-2,UCB SA,Handl Therapeutics,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0005,3.4023066454805946,UCB SA,0,1,0
control,CTL-0005,UCB SA,2019,18,Inferred from observed earliest-priority-year range,26,EVT-F32E3250,2020,-1,UCB SA,Handl Therapeutics,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0005,3.584289651861328,UCB SA,0,1,0
control,CTL-0005,UCB SA,2021,17,Inferred from observed earliest-priority-year range,2,EVT-F32E3250,2020,1,UCB SA,Handl Therapeutics,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0005,3.5272244561999657,UCB SA,1,1,1
control,CTL-0005,UCB SA,2022,5,Inferred from observed earliest-priority-year range,0,EVT-F32E3250,2020,2,UCB SA,Handl Therapeutics,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0005,2.3124383412727525,UCB SA,1,1,1
control,CTL-0005,UCB SA,2023,0,Inferred from observed earliest-priority-year range,0,EVT-F32E3250,2020,3,UCB SA,Handl Therapeutics,High-confidence innovation-driven,High,Strict (100%),1,1,0,CTL-0005,0.0,UCB SA,1,1,1
control,CTL-0096,USV Pvt Ltd,2015,0,Inferred from observed earliest-priority-year range,0,EVT-FB4925D1,2018,-3,USV Pvt Ltd,Juta Pharma GmbH,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0096,0.0,USV Pvt Ltd,0,0,0
control,CTL-0096,USV Pvt Ltd,2016,0,Inferred from observed earliest-priority-year range,0,EVT-FB4925D1,2018,-2,USV Pvt Ltd,Juta Pharma GmbH,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0096,0.0,USV Pvt Ltd,0,0,0
control,CTL-0096,USV Pvt Ltd,2017,0,Inferred from observed earliest-priority-year range,0,EVT-FB4925D1,2018,-1,USV Pvt Ltd,Juta Pharma GmbH,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0096,0.0,USV Pvt Ltd,0,0,0
control,CTL-0096,USV Pvt Ltd,2019,0,Inferred from observed earliest-priority-year range,0,EVT-FB4925D1,2018,1,USV Pvt Ltd,Juta Pharma GmbH,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0096,0.0,USV Pvt Ltd,1,0,0
control,CTL-0096,USV Pvt Ltd,2020,1,Inferred from observed earliest-priority-year range,1,EVT-FB4925D1,2018,2,USV Pvt Ltd,Juta Pharma GmbH,Alternative-rationale,High,Strict (100%),0,0,1,CTL-0096,0.881373587019543,USV Pvt Ltd,1,0,0
