Source_File,Company_or_Group,Deal_ID,Completion_Year,Calendar_Year,Relative_Year,Within_Event_Window,Coverage_Basis,Patent_Family_Count,Raw_Forward_Citations,Citation_Metric_Definition,Scope_Notes
Esteve Pharmaceuticals.csv,Esteve Pharmaceuticals,TRT-0044,2020.0,2015,-5.0,No,Inferred from observed priority-year range,11,0,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner aliases for Esteve Pharmaceuticals and Laboratorios del Dr. Esteve.
Esteve Pharmaceuticals.csv,Esteve Pharmaceuticals,TRT-0044,2020.0,2016,-4.0,No,Inferred from observed priority-year range,14,7,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner aliases for Esteve Pharmaceuticals and Laboratorios del Dr. Esteve.
Esteve Pharmaceuticals.csv,Esteve Pharmaceuticals,TRT-0044,2020.0,2017,-3.0,Yes,Inferred from observed priority-year range,8,0,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner aliases for Esteve Pharmaceuticals and Laboratorios del Dr. Esteve.
Esteve Pharmaceuticals.csv,Esteve Pharmaceuticals,TRT-0044,2020.0,2018,-2.0,Yes,Inferred from observed priority-year range,5,0,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner aliases for Esteve Pharmaceuticals and Laboratorios del Dr. Esteve.
Esteve Pharmaceuticals.csv,Esteve Pharmaceuticals,TRT-0044,2020.0,2019,-1.0,Yes,Inferred from observed priority-year range,3,0,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner aliases for Esteve Pharmaceuticals and Laboratorios del Dr. Esteve.
Esteve Pharmaceuticals.csv,Esteve Pharmaceuticals,TRT-0044,2020.0,2020,0.0,Yes,Inferred from observed priority-year range,1,0,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner aliases for Esteve Pharmaceuticals and Laboratorios del Dr. Esteve.
Esteve Pharmaceuticals.csv,Esteve Pharmaceuticals,TRT-0044,2020.0,2021,1.0,Yes,Inferred from observed priority-year range,1,0,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner aliases for Esteve Pharmaceuticals and Laboratorios del Dr. Esteve.
Eurofins Scientific.csv,Eurofins Scientific,TRT-0039,2013.0,2018,5.0,No,Inferred from observed priority-year range,1,1,Raw family-level forward citations (max cited-by per family); not age/field normalised,Single family matched through owner field; event-window coverage is not established.
GSK.csv,GSK,TRT-0038,2013.0,2011,-2.0,Yes,Inferred from observed priority-year range,1,0,Raw family-level forward citations (max cited-by per family); not age/field normalised,Export is concentrated on GSK Consumer Healthcare/Haleon and may not represent the full GSK pharmaceutical group.
GSK.csv,GSK,TRT-0038,2013.0,2012,-1.0,Yes,Inferred from observed priority-year range,0,0,Raw family-level forward citations (max cited-by per family); not age/field normalised,Export is concentrated on GSK Consumer Healthcare/Haleon and may not represent the full GSK pharmaceutical group.
GSK.csv,GSK,TRT-0038,2013.0,2013,0.0,Yes,Inferred from observed priority-year range,7,37,Raw family-level forward citations (max cited-by per family); not age/field normalised,Export is concentrated on GSK Consumer Healthcare/Haleon and may not represent the full GSK pharmaceutical group.
GSK.csv,GSK,TRT-0038,2013.0,2014,1.0,Yes,Inferred from observed priority-year range,1,0,Raw family-level forward citations (max cited-by per family); not age/field normalised,Export is concentrated on GSK Consumer Healthcare/Haleon and may not represent the full GSK pharmaceutical group.
GSK.csv,GSK,TRT-0038,2013.0,2015,2.0,Yes,Inferred from observed priority-year range,2,1,Raw family-level forward citations (max cited-by per family); not age/field normalised,Export is concentrated on GSK Consumer Healthcare/Haleon and may not represent the full GSK pharmaceutical group.
GSK.csv,GSK,TRT-0038,2013.0,2016,3.0,Yes,Inferred from observed priority-year range,6,18,Raw family-level forward citations (max cited-by per family); not age/field normalised,Export is concentrated on GSK Consumer Healthcare/Haleon and may not represent the full GSK pharmaceutical group.
GSK.csv,GSK,TRT-0038,2013.0,2017,4.0,No,Inferred from observed priority-year range,2,0,Raw family-level forward citations (max cited-by per family); not age/field normalised,Export is concentrated on GSK Consumer Healthcare/Haleon and may not represent the full GSK pharmaceutical group.
GSK.csv,GSK,TRT-0038,2013.0,2018,5.0,No,Inferred from observed priority-year range,2,9,Raw family-level forward citations (max cited-by per family); not age/field normalised,Export is concentrated on GSK Consumer Healthcare/Haleon and may not represent the full GSK pharmaceutical group.
GSK.csv,GSK,TRT-0038,2013.0,2019,6.0,No,Inferred from observed priority-year range,8,40,Raw family-level forward citations (max cited-by per family); not age/field normalised,Export is concentrated on GSK Consumer Healthcare/Haleon and may not represent the full GSK pharmaceutical group.
GSK.csv,GSK,TRT-0038,2013.0,2020,7.0,No,Inferred from observed priority-year range,0,0,Raw family-level forward citations (max cited-by per family); not age/field normalised,Export is concentrated on GSK Consumer Healthcare/Haleon and may not represent the full GSK pharmaceutical group.
GSK.csv,GSK,TRT-0038,2013.0,2021,8.0,No,Inferred from observed priority-year range,1,0,Raw family-level forward citations (max cited-by per family); not age/field normalised,Export is concentrated on GSK Consumer Healthcare/Haleon and may not represent the full GSK pharmaceutical group.
Nicox.csv,Nicox,TRT-0034,2014.0,2011,-3.0,Yes,Inferred from observed priority-year range,2,8,Raw family-level forward citations (max cited-by per family); not age/field normalised,Includes Nicox entities and Aciex Therapeutics as a pre-existing subsidiary/affiliate alias.
Nicox.csv,Nicox,TRT-0034,2014.0,2012,-2.0,Yes,Inferred from observed priority-year range,3,7,Raw family-level forward citations (max cited-by per family); not age/field normalised,Includes Nicox entities and Aciex Therapeutics as a pre-existing subsidiary/affiliate alias.
Nicox.csv,Nicox,TRT-0034,2014.0,2013,-1.0,Yes,Inferred from observed priority-year range,4,1,Raw family-level forward citations (max cited-by per family); not age/field normalised,Includes Nicox entities and Aciex Therapeutics as a pre-existing subsidiary/affiliate alias.
Nicox.csv,Nicox,TRT-0034,2014.0,2014,0.0,Yes,Inferred from observed priority-year range,3,0,Raw family-level forward citations (max cited-by per family); not age/field normalised,Includes Nicox entities and Aciex Therapeutics as a pre-existing subsidiary/affiliate alias.
Nicox.csv,Nicox,TRT-0034,2014.0,2015,1.0,Yes,Inferred from observed priority-year range,2,0,Raw family-level forward citations (max cited-by per family); not age/field normalised,Includes Nicox entities and Aciex Therapeutics as a pre-existing subsidiary/affiliate alias.
Nicox.csv,Nicox,TRT-0034,2014.0,2016,2.0,Yes,Inferred from observed priority-year range,1,0,Raw family-level forward citations (max cited-by per family); not age/field normalised,Includes Nicox entities and Aciex Therapeutics as a pre-existing subsidiary/affiliate alias.
Nicox.csv,Nicox,TRT-0034,2014.0,2017,3.0,Yes,Inferred from observed priority-year range,0,0,Raw family-level forward citations (max cited-by per family); not age/field normalised,Includes Nicox entities and Aciex Therapeutics as a pre-existing subsidiary/affiliate alias.
Nicox.csv,Nicox,TRT-0034,2014.0,2018,4.0,No,Inferred from observed priority-year range,3,1,Raw family-level forward citations (max cited-by per family); not age/field normalised,Includes Nicox entities and Aciex Therapeutics as a pre-existing subsidiary/affiliate alias.
Nicox.csv,Nicox,TRT-0034,2014.0,2019,5.0,No,Inferred from observed priority-year range,2,1,Raw family-level forward citations (max cited-by per family); not age/field normalised,Includes Nicox entities and Aciex Therapeutics as a pre-existing subsidiary/affiliate alias.
Nicox.csv,Nicox,TRT-0034,2014.0,2020,6.0,No,Inferred from observed priority-year range,3,2,Raw family-level forward citations (max cited-by per family); not age/field normalised,Includes Nicox entities and Aciex Therapeutics as a pre-existing subsidiary/affiliate alias.
Nicox.csv,Nicox,TRT-0034,2014.0,2021,7.0,No,Inferred from observed priority-year range,2,0,Raw family-level forward citations (max cited-by per family); not age/field normalised,Includes Nicox entities and Aciex Therapeutics as a pre-existing subsidiary/affiliate alias.
Nicox.csv,Nicox,TRT-0034,2014.0,2022,8.0,No,Inferred from observed priority-year range,2,0,Raw family-level forward citations (max cited-by per family); not age/field normalised,Includes Nicox entities and Aciex Therapeutics as a pre-existing subsidiary/affiliate alias.
Sanofi_Applicant_EP_Families_2015_2021.csv(1).csv,Sanofi,TRT-0010,2018.0,2015,-3.0,Yes,Explicit search range,15,9,Raw family-level forward citations (max cited-by per family); not age/field normalised,"EP-focused applicant-family export, 2015–2021; not directly comparable with multi-jurisdiction exports without harmonisation."
Sanofi_Applicant_EP_Families_2015_2021.csv(1).csv,Sanofi,TRT-0010,2018.0,2016,-2.0,Yes,Explicit search range,28,4,Raw family-level forward citations (max cited-by per family); not age/field normalised,"EP-focused applicant-family export, 2015–2021; not directly comparable with multi-jurisdiction exports without harmonisation."
Sanofi_Applicant_EP_Families_2015_2021.csv(1).csv,Sanofi,TRT-0010,2018.0,2017,-1.0,Yes,Explicit search range,36,0,Raw family-level forward citations (max cited-by per family); not age/field normalised,"EP-focused applicant-family export, 2015–2021; not directly comparable with multi-jurisdiction exports without harmonisation."
Sanofi_Applicant_EP_Families_2015_2021.csv(1).csv,Sanofi,TRT-0010,2018.0,2018,0.0,Yes,Explicit search range,38,1,Raw family-level forward citations (max cited-by per family); not age/field normalised,"EP-focused applicant-family export, 2015–2021; not directly comparable with multi-jurisdiction exports without harmonisation."
Sanofi_Applicant_EP_Families_2015_2021.csv(1).csv,Sanofi,TRT-0010,2018.0,2019,1.0,Yes,Explicit search range,42,4,Raw family-level forward citations (max cited-by per family); not age/field normalised,"EP-focused applicant-family export, 2015–2021; not directly comparable with multi-jurisdiction exports without harmonisation."
Sanofi_Applicant_EP_Families_2015_2021.csv(1).csv,Sanofi,TRT-0010,2018.0,2020,2.0,Yes,Explicit search range,20,1,Raw family-level forward citations (max cited-by per family); not age/field normalised,"EP-focused applicant-family export, 2015–2021; not directly comparable with multi-jurisdiction exports without harmonisation."
Sanofi_Applicant_EP_Families_2015_2021.csv(1).csv,Sanofi,TRT-0010,2018.0,2021,3.0,Yes,Explicit search range,13,0,Raw family-level forward citations (max cited-by per family); not age/field normalised,"EP-focused applicant-family export, 2015–2021; not directly comparable with multi-jurisdiction exports without harmonisation."
shire.csv,Shire,TRT-0045,2013.0,2011,-2.0,Yes,Inferred from observed priority-year range,15,159,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner aliases containing Shire; later Takeda-only records excluded unless Shire appears.
shire.csv,Shire,TRT-0045,2013.0,2012,-1.0,Yes,Inferred from observed priority-year range,13,241,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner aliases containing Shire; later Takeda-only records excluded unless Shire appears.
shire.csv,Shire,TRT-0045,2013.0,2013,0.0,Yes,Inferred from observed priority-year range,23,416,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner aliases containing Shire; later Takeda-only records excluded unless Shire appears.
shire.csv,Shire,TRT-0045,2013.0,2014,1.0,Yes,Inferred from observed priority-year range,18,245,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner aliases containing Shire; later Takeda-only records excluded unless Shire appears.
shire.csv,Shire,TRT-0045,2013.0,2015,2.0,Yes,Inferred from observed priority-year range,8,20,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner aliases containing Shire; later Takeda-only records excluded unless Shire appears.
shire.csv,Shire,TRT-0045,2013.0,2016,3.0,Yes,Inferred from observed priority-year range,6,22,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner aliases containing Shire; later Takeda-only records excluded unless Shire appears.
shire.csv,Shire,TRT-0045,2013.0,2017,4.0,No,Inferred from observed priority-year range,11,11,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner aliases containing Shire; later Takeda-only records excluded unless Shire appears.
shire.csv,Shire,TRT-0045,2013.0,2018,5.0,No,Inferred from observed priority-year range,6,12,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner aliases containing Shire; later Takeda-only records excluded unless Shire appears.
shire.csv,Shire,TRT-0045,2013.0,2019,6.0,No,Inferred from observed priority-year range,8,29,Raw family-level forward citations (max cited-by per family); not age/field normalised,Applicant/owner aliases containing Shire; later Takeda-only records excluded unless Shire appears.
