Deal_ID,Initial_Group,screen_group,Initial_Treatment_Indicator,Source_File,Cross_File_Key,Overlap_Flag,Duplicate_Flag,dup_drop,overlap_resolution_note,same_firm_year_note,Announced_Date,Completion_Date,Completion_Year,Deal_Status,Deal_Headline,Deal_Subtype_Level_3,Deal_Country_s,Acquirer_Raw,Acquirer_Normalized,Target_Raw,Target_Normalized,Deal_Value_USD_m,Financial_Currency,Financial_Data_Status,Patent_Data_Status,Multiple_Deal_Acquirer,text_innov_hits,text_alt_hits,text_lean,Provisional_Classification,Provisional_Confidence,Requires_Human_Review,has_fin,has_pat,eligible_strict,eligible_broad
TRT-0012,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,impilo acquires 37 stake in ferrosan medical devices,Yes,No,False,,,2017-07-07,2017-07-07,2017,Completed,Impilo Acquires 37% stake in Ferrosan Medical Devices,Minority Acquisition,Denmark,Impilo AB,impilo ab,Ferrosan Medical Devices AS,ferrosan medical devices,,,Not collected,Not collected,No,0,1,Text: mixed/ambiguous,Innovation-driven,Low (screen only; weak/absent text),YES - provisional automated classification,False,False,False,False
TRT-0013,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,cell medica acquires catapult therapy tcr from cell therapy catapult,No,No,False,,,2017-06-20,2017-06-20,2017,Completed,Cell Medica Acquires Catapult Therapy TCR from Cell Therapy Catapult,100% Acquisition,United Kingdom,Kuur Therapeutics Ltd,kuur therapeutics,Cell Medica TCR Ltd,cell medica tcr,,,Not collected,Not collected,No,5,2,Text: innovation-leaning,Innovation-driven,Medium (screen + text agree),YES - provisional automated classification,False,False,True,True
TRT-0014,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,astellas pharma acquires ogeda for up to,Yes,No,False,,,2017-04-03,2017-05-16,2017,Completed,Astellas Pharma Acquires Ogeda for up to USD852 Million,100% Acquisition,Belgium,Astellas Pharma Inc,astellas pharma,Ogeda SA,ogeda,852.0,,Not collected,Not collected,No,4,0,Text: innovation-leaning,Innovation-driven,Medium (screen + text agree),YES - provisional automated classification,False,False,True,True
TRT-0015,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,boston scientific acquires symetis for,Yes,No,False,,,2017-03-30,2017-05-16,2017,Completed,Boston Scientific Acquires Symetis for USD435 Million,100% Acquisition,Switzerland,Boston Scientific Corp,boston scientific,Symetis SA (Inactive),symetis,435.0,,Not collected,Not collected,No,3,2,Text: mixed/ambiguous,Innovation-driven,Low (screen only; weak/absent text),YES - provisional automated classification,False,False,True,True
TRT-0016,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,biolinerx acquires agalimmune,Yes,No,False,,,2017-03-23,2017-03-23,2017,Completed,BioLineRx Acquires Agalimmune,100% Acquisition,United Kingdom,BioLineRx Ltd,biolinerx,Agalimmune Ltd,agalimmune,6.0,,Not collected,Not collected,No,9,2,Text: innovation-leaning,Innovation-driven,Medium (screen + text agree),YES - provisional automated classification,False,False,True,True
TRT-0017,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,mediolanum farmaceutici acquires therabel pharma gienne,No,No,False,,,2017-02-17,2017-03-02,2017,Completed,Mediolanum Farmaceutici Acquires Therabel Pharma Gienne,Minority Acquisition,Italy,Mediolanum farmaceutici SpA,mediolanum farmaceutici,Therabel Pharma SA,therabel pharma,,,Not collected,Not collected,No,0,0,No text evidence,Innovation-driven,Low (screen only; weak/absent text),YES - provisional automated classification,False,False,False,False
TRT-0018,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,agile pharma acquires generis farmaceutica from magnum capital partners for,Yes,No,False,,,2017-01-07,2017-04-28,2017,Completed,Agile Pharma Acquires Generis Farmaceutica from Magnum Capital Partners for USD142.8 Million,100% Acquisition,Portugal,Agile Pharma BV,agile pharma,Generis Pharmaceuticals SA,generis pharmaceuticals,143.0,,Not collected,Not collected,No,0,2,Text: alternative-leaning,Borderline/mixed motive,Low (screen-text conflict),YES - provisional automated classification,False,False,True,True
TRT-0019,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,genticel merges with genkyotex,Yes,No,False,,,2016-12-22,2017-02-28,2017,Completed,Genticel Merges with GenKyoTex,,"France , Switzerland",Calliditas Therapeutics France SAS,calliditas therapeutics france,Calliditas Therapeutics France SAS; Calliditas Therapeutics France SAS,calliditas therapeutics france calliditas therapeutics france,156.0,,Not collected,Not collected,No,7,0,Text: innovation-leaning,Innovation-driven,Medium (screen + text agree),YES - provisional automated classification,False,False,False,True
TRT-0020,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,biogaia acquires additional 9 stake in metabogen for,Yes,No,False,,,2016-11-30,2016-11-30,2016,Completed,BioGaia Acquires Additional 9% Stake in MetaboGen for USD0.43 Million,Minority Acquisition,Sweden,BioGaia AB,biogaia ab,MetaboGen AB,metabogen ab,0.0,,Not collected,Not collected,Yes,4,0,Text: innovation-leaning,Innovation-driven,Medium (screen + text agree),YES - provisional automated classification,False,False,False,False
TRT-0021,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,macarthys laboratories martindale pharma acquires viridian pharma,Yes,No,False,,,2016-07-11,2016-07-11,2016,Completed,Macarthys Laboratories (Martindale Pharma) acquires Viridian Pharma,Majority Acquisition,United Kingdom,Martindale Pharma,martindale pharma,Viridian Pharma Ltd,viridian pharma,,,Not collected,Not collected,No,0,0,No text evidence,Innovation-driven,Low (screen only; weak/absent text),YES - provisional automated classification,False,False,False,True
TRT-0022,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,carbylan therapeutics acquires kalvista pharma,Yes,No,False,,,2016-06-15,2016-11-22,2016,Completed,Carbylan Therapeutics Acquires KalVista Pharma,100% Acquisition,United Kingdom,Kalvista Pharmaceuticals Inc,kalvista pharmaceuticals,Kalvista Pharmaceuticals Ltd,kalvista pharmaceuticals,,,Not collected,Not collected,No,3,1,Text: innovation-leaning,Innovation-driven,Medium (screen + text agree),YES - provisional automated classification,False,False,True,True
TRT-0023,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,albany molecular research acquires 100 stake of prime european therapeuticals euticals,Yes,No,False,,,2016-05-05,2016-07-11,2016,Completed,Albany Molecular Research acquires 100% stake of Prime European Therapeuticals (Euticals),100% Acquisition,Italy,"Albany Molecular Research, Inc.",albany molecular research,Euticals SpA,euticals,358.0,,Not collected,Not collected,No,4,6,Text: alternative-leaning,Borderline/mixed motive,Low (screen-text conflict),YES - provisional automated classification,False,False,True,True
TRT-0024,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,vectura group acquires 100 stake in skyepharma,Yes,No,False,,,2016-03-16,2016-06-10,2016,Completed,Vectura Group acquires 100% stake in SkyePharma,100% Acquisition,United Kingdom,Vectura Group Limited,vectura,Skyepharma PLC,skyepharma,627.0,,Not collected,Not collected,Yes,1,2,Text: mixed/ambiguous,Innovation-driven,Low (screen only; weak/absent text),YES - provisional automated classification,False,False,True,True
TRT-0025,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,skyepharma merges with vectura,Yes,No,False,,,2016-03-16,2016-06-10,2016,Completed,SkyePharma Merges with Vectura,,United Kingdom,Vectura Group Ltd,vectura,SkyePharma Ltd; Vectura Group Ltd,skyepharma vectura,627.0,,Not collected,Not collected,Yes,1,0,Text: mixed/ambiguous,Innovation-driven,Low (screen only; weak/absent text),YES - provisional automated classification,False,False,False,True
TRT-0026,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,therametrics merges with relief therapeutics,Yes,No,False,,,2015-12-21,2016-07-18,2016,Completed,Therametrics Merges with Relief Therapeutics,,Switzerland,Relief Therapeutics Holding AG; Sonnet BioTherapeutics CH SA,relief therapeutics sonnet biotherapeutics ch,THERAMetrics holding AG (Inactive); Sonnet BioTherapeutics CH SA,therametrics sonnet biotherapeutics ch,,,Not collected,Not collected,No,3,0,Text: innovation-leaning,Innovation-driven,Medium (screen + text agree),YES - provisional automated classification,False,False,False,True
TRT-0027,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,biogaia acquires additional 12 stake in metabogen for,Yes,No,False,,,2015-12-01,2015-12-01,2015,Completed,BioGaia Acquires Additional 12% Stake in MetaboGen for USD0.5 Million,Minority Acquisition,Sweden,BioGaia AB,biogaia ab,MetaboGen AB,metabogen ab,0.0,,Not collected,Not collected,Yes,4,0,Text: innovation-leaning,Innovation-driven,Medium (screen + text agree),YES - provisional automated classification,False,False,False,False
TRT-0028,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,aduro biotech acquires bionovion holding,Yes,No,False,,,2015-09-24,2015-10-30,2015,Completed,Aduro BioTech acquires BioNovion Holding,100% Acquisition,The Netherlands,Chinook Therapeutics Inc,chinook therapeutics,BioNovion Holding B.V.,bionovion b v,32.0,EUR,Partial,Partial event window — 4/7 years covered,No,7,0,Text: innovation-leaning,Innovation-driven,Medium (screen + text agree),YES - provisional automated classification,True,True,True,True
TRT-0029,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,ares allergy stallergenes and greer labs merge,Yes,No,False,,,2015-09-08,2015-09-08,2015,Completed,"Ares Allergy, Stallergenes and Greer Labs Merge",,"France , United Kingdom , United States",Stallergenes Greer Ltd,stallergenes greer,Greer Laboratories Inc; Stallergenes SA; Stallergenes Greer Ltd,greer laboratories stallergenes stallergenes greer,,,Not collected,Not collected,No,1,1,Text: mixed/ambiguous,Innovation-driven,Low (screen only; weak/absent text),YES - provisional automated classification,False,False,False,True
TRT-0030,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,stada arzneimittel acquires sciotec diagnostic technologies for,Yes,No,False,,,2015-08-26,2015-08-26,2015,Completed,STADA Arzneimittel Acquires SCIOTEC Diagnostic Technologies for USD19.8 Million,100% Acquisition,Austria,Stada Arzneimittel AG,stada arzneimittel,SCIOTEC Diagnostic Technologies GmbH,sciotec diagnostic technologies,20.0,,Not collected,Not collected,No,1,3,Text: alternative-leaning,Borderline/mixed motive,Low (screen-text conflict),YES - provisional automated classification,False,False,True,True
TRT-0031,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,tigenix acquires coretherapix,Yes,No,False,,,2015-07-30,2015-07-31,2015,Completed,TiGenix acquires Coretherapix,Majority Acquisition,Spain,TiGenix NV,tigenix,Coretherapix SLU,coretherapix slu,7.0,,Not collected,Not collected,No,5,1,Text: innovation-leaning,Innovation-driven,Medium (screen + text agree),YES - provisional automated classification,False,False,False,True
TRT-0032,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,auspex pharma acquires imphar,Yes,No,False,,,2015-01-11,2015-12-31,2015,Completed,Auspex Pharma Acquires Imphar,100% Acquisition,Germany,Auspex Pharmaceuticals Inc,auspex pharmaceuticals,imphar AG,imphar,,,Not collected,Not collected,No,3,0,Text: innovation-leaning,Innovation-driven,Medium (screen + text agree),YES - provisional automated classification,False,False,True,True
TRT-0033,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,cadila pharma sweden acquires biochromix newco,Yes,No,False,,,2014-10-02,2014-10-02,2014,Completed,Cadila Pharma Sweden Acquires BioChromix NewCo,100% Acquisition,Sweden,Cadila Pharmaceuticals Sweden AB,cadila pharmaceuticals sweden ab,BioChromix NewCo AB,biochromix newco ab,,,Not collected,Not collected,No,8,2,Text: innovation-leaning,Innovation-driven,Medium (screen + text agree),YES - provisional automated classification,False,False,True,True
TRT-0034,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,nicox acquires 100 stake in doliage,Yes,No,False,,,2014-09-16,2014-09-26,2014,Completed,Nicox acquires 100% stake in Doliage,100% Acquisition,France,Nicox SA,nicox,Doliage,doliage,6.0,EUR,Partial,Complete event window — provisional,No,0,2,Text: alternative-leaning,Borderline/mixed motive,Low (screen-text conflict),YES - provisional automated classification,True,True,True,True
TRT-0035,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,productlife group acquires kohne pharma,Yes,No,False,,,2014-02-17,2014-02-17,2014,Completed,ProductLife Group acquires Kohne Pharma,Majority Acquisition,"France , Germany",ProductLife Group,productlife,Kohne Pharma GmbH,kohne pharma,,,Not collected,Not collected,No,0,1,Text: mixed/ambiguous,Innovation-driven,Low (screen only; weak/absent text),YES - provisional automated classification,False,False,False,True
TRT-0036,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,cardiome pharma acquires correvio,Yes,No,False,,,2013-11-18,2013-11-18,2013,Completed,Cardiome Pharma acquires Correvio,100% Acquisition,Switzerland,Correvio Pharma Corp.,correvio pharma,Correvio International Sarl,correvio international sarl,23.0,,Not collected,Not collected,No,2,2,Text: mixed/ambiguous,Innovation-driven,Low (screen only; weak/absent text),YES - provisional automated classification,False,False,True,True
TRT-0037,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,polytherics acquires antitope,No,No,False,,,2013-07-26,2013-07-26,2013,Completed,PolyTherics acquires Antitope,100% Acquisition,United Kingdom,Abzena UK Ltd,abzena uk,Antitope Ltd,antitope,,,Not collected,Not collected,No,4,0,Text: innovation-leaning,Innovation-driven,Medium (screen + text agree),YES - provisional automated classification,False,False,True,True
TRT-0038,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,glaxosmithkline acquires okairos,Yes,No,False,Okairos/ReiThera = proprietary genetic-vaccine platform biotech; pre-deal platform+pipeline rationale -> innovation-driven. Keep treatment row.,,2013-05-29,2013-05-29,2013,Completed,GlaxoSmithKline acquires Okairos,Majority Acquisition,Italy,GSK plc.,gsk,ReiThera Srl,reithera,325.0,EUR,Complete,Partial event window — 6/7 years covered; limited subsidiary scope,No,7,0,Text: innovation-leaning,Innovation-driven,Medium (manual overlap resolution),YES - provisional automated classification,True,True,False,True
TRT-0039,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,eurofins scientific acquires aros applied biotechnology,Yes,No,False,,,2013-02-21,2013-02-21,2013,Completed,Eurofins Scientific acquires AROS Applied Biotechnology,Majority Acquisition,Denmark,Eurofins Scientific SE,eurofins scientific,AROS Applied Biotechnology AS,aros applied biotechnology,,EUR,Complete,Insufficient event-window coverage,No,4,3,Text: mixed/ambiguous,Innovation-driven,Low (screen only; weak/absent text),YES - provisional automated classification,True,False,False,True
TRT-0040,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,alvogen acquires labormed pharma,Yes,No,False,,,2013-01-15,2012-12-31,2012,Completed,Alvogen acquires LaborMed Pharma,Majority Acquisition,Romania,Alvogen Inc,alvogen,LaborMed Pharma SA,labormed pharma,,,Not collected,Not collected,No,1,5,Text: alternative-leaning,Borderline/mixed motive,Low (screen-text conflict),YES - provisional automated classification,False,False,False,True
TRT-0041,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,enara acquires angels care services,Yes,No,False,,,2012-07-20,2012-07-20,2012,Completed,Enara acquires Angels Care Services,Majority Acquisition,United Kingdom,Enara Limited,enara,Angel Care Services UK Ltd,angel care services uk,,,Not collected,Not collected,No,0,1,Text: mixed/ambiguous,Innovation-driven,Low (screen only; weak/absent text),YES - provisional automated classification,False,False,False,True
TRT-0042,Candidate treatment group,Innovation-driven (candidate screen),1,DATA - Innovation driven deals.xlsx,agilent technologies acquires 100 stake in dako,Yes,No,False,,,2012-05-17,2012-06-21,2012,Completed,Agilent Technologies acquires 100% stake in Dako,100% Acquisition,Denmark,"Agilent Technologies, Inc.",agilent technologies,Dako A/S,dako a s,2200.0,,Not collected,Not collected,No,2,1,Text: mixed/ambiguous,Innovation-driven,Low (screen only; weak/absent text),YES - provisional automated classification,False,False,True,True
TRT-0043,User-designated treatment group (reclassified),Innovation-driven (candidate screen),1,DATA non-innovation deals.xlsx,midatech acquires q chip,No,No,False,,,2014-12-08,2014-12-08,2014,Completed,Midatech acquires Q Chip,Majority Acquisition,United Kingdom,Biodexa Ltd,biodexa ltd,"Q Chip, Ltd.",q chip ltd,,EUR,Partial,Not collected,No,4,1,Text: innovation-leaning,Innovation-driven,Medium (screen + text agree),YES - provisional automated classification,True,False,False,True
TRT-0044,User-designated treatment group (reclassified),Innovation-driven (candidate screen),1,DATA non-innovation deals.xlsx,esteve pharma acquires riemser pharma from ardian,No,No,True,Dropped as cross-file duplicate of CTL-0028.,,2020-01-08,2020-02-07,2020,Completed,Esteve Pharma Acquires Riemser Pharma from Ardian,100% Acquisition,Germany,Esteve Pharmaceuticals SA,esteve pharmaceuticals sa,ESTEVE Pharmaceuticals GmbH,esteve pharmaceuticals gmbh,,EUR,Partial,Partial event window — 5/7 years covered,No,3,1,Text: innovation-leaning,Innovation-driven,Medium (screen + text agree),YES - provisional automated classification,True,True,False,False
TRT-0045,User-designated treatment group (reclassified),Innovation-driven (candidate screen),1,DATA non-innovation deals.xlsx,shire acquires premacure,No,No,False,Premacure = clinical-stage protein-replacement therapy for preterm infants; pipeline asset -> innovation-driven. Keep treatment row.,,2013-03-12,2013-03-12,2013,Completed,Shire acquires Premacure,Majority Acquisition,Sweden,Shire plc (Inactive),shire plc inactive,Premacure AB,premacure ab,,USD,Complete,Partial event window — 6/7 years covered,No,5,0,Text: innovation-leaning,Innovation-driven,Medium (manual overlap resolution),YES - provisional automated classification,True,True,False,True
CTL-0001,Candidate alternative-rationale group,Alternative-rationale (candidate screen),0,DATA non-innovation deals.xlsx,emmes acquires neox,No,No,False,,,2020-12-30,2020-12-30,2020,Completed,Emmes Acquires Neox,100% Acquisition,Czech Republic,Emmes Corp,emmes,Neox sro,neox sro,,,Not collected,Not collected,No,1,4,Text: alternative-leaning,Alternative rationale,Medium (screen + text agree),YES - provisional automated classification,False,False,True,True
CTL-0002,Candidate alternative-rationale group,Alternative-rationale (candidate screen),0,DATA non-innovation deals.xlsx,veraxa biotech acquires araxa biosciences and velabs therapeutics,No,No,False,,,2020-12-23,2020-12-23,2020,Completed,Veraxa Biotech Acquires Araxa Biosciences and Velabs Therapeutics,100% Acquisition,Germany,VERAXA Biotech GmbH,veraxa biotech,Velabs Therapeutics GmbH (Inactive); Araxa Biosciences GmbH (Inactive),velabs therapeutics araxa biosciences,,,Not collected,Not collected,No,9,0,Text: innovation-leaning,Borderline/mixed motive,Low (screen-text conflict),YES - provisional automated classification,False,False,True,True
CTL-0003,Candidate alternative-rationale group,Alternative-rationale (candidate screen),0,DATA non-innovation deals.xlsx,link medical research acquires irw consulting,No,No,False,,,2020-12-04,2020-12-04,2020,Completed,Link Medical Research Acquires IRW Consulting,100% Acquisition,Sweden,Link Medical Research AS,link medical research,IRW Consulting AB,irw consulting ab,,,Not collected,Not collected,No,2,2,Text: mixed/ambiguous,Alternative rationale,Low (screen only; weak/absent text),YES - provisional automated classification,False,False,True,True
CTL-0004,Candidate alternative-rationale group,Alternative-rationale (candidate screen),0,DATA non-innovation deals.xlsx,immunicum acquire dcprime,No,No,False,,,2020-11-18,2020-12-21,2020,Completed,Immunicum Acquire DCprime,100% Acquisition,The Netherlands,Mendus AB,mendus ab,DC Prime BV,dc prime,,,Not collected,Not collected,No,7,2,Text: innovation-leaning,Borderline/mixed motive,Low (screen-text conflict),YES - provisional automated classification,False,False,True,True
CTL-0005,Candidate alternative-rationale group,Alternative-rationale (candidate screen),0,DATA non-innovation deals.xlsx,ucb acquires handl therapeutics,No,No,False,,,2020-11-12,2020-11-12,2020,Completed,UCB Acquires Handl Therapeutics,100% Acquisition,Belgium,UCB SA,ucb,Handl Therapeutics,handl therapeutics,,EUR,Complete,Complete event window — 7/7 years covered,No,3,0,Text: innovation-leaning,Borderline/mixed motive,Low (screen-text conflict),YES - provisional automated classification,True,True,True,True
CTL-0006,Candidate alternative-rationale group,Alternative-rationale (candidate screen),0,DATA non-innovation deals.xlsx,perkinelmer acquires horizon discovery,No,No,False,,,2020-11-02,2020-12-23,2020,Completed,PerkinElmer Acquires Horizon Discovery,100% Acquisition,United Kingdom,Revvity Inc,revvity,Horizon Discovery Group Ltd,horizon discovery,383.0,,Not collected,Not collected,Yes,2,0,Text: innovation-leaning,Borderline/mixed motive,Low (screen-text conflict),YES - provisional automated classification,False,False,True,True
CTL-0007,Candidate alternative-rationale group,Alternative-rationale (candidate screen),0,DATA non-innovation deals.xlsx,retrophin acquires orphan technologies,No,No,False,,,2020-10-22,2020-11-12,2020,Completed,Retrophin Acquires Orphan Technologies,100% Acquisition,Switzerland,Travere Therapeutics Inc,travere therapeutics,Orphan Technologies Ltd,orphan technologies,517.0,,Not collected,Not collected,No,5,2,Text: innovation-leaning,Borderline/mixed motive,Low (screen-text conflict),YES - provisional automated classification,False,False,True,True
CTL-0008,Candidate alternative-rationale group,Alternative-rationale (candidate screen),0,DATA non-innovation deals.xlsx,stada arzneimittel acquires lobsor pharma,No,No,False,,,2020-10-02,2020-10-02,2020,Completed,STADA Arzneimittel Acquires Lobsor Pharma,100% Acquisition,Sweden,Stada Arzneimittel AG,stada arzneimittel,LobSor Pharmaceuticals AB,lobsor pharmaceuticals ab,,,Not collected,Not collected,Yes,3,3,Text: mixed/ambiguous,Alternative rationale,Low (screen only; weak/absent text),YES - provisional automated classification,False,False,True,True
