Deal_ID,Initial_Group,Final_Classification,Classification_Confidence,Initial_Treatment,Final_Treatment,Main_DiD_Decision,Acquirer,Target,Completion_Year,Relative_Year,Calendar_Year,Post_Excluding_t0,Post_Including_t0,Treatment_x_Post,Revenue_m,Operating_Income_m,Net_Income_m,Total_Assets_m,Total_Debt_m,R_and_D_Expense_m,ROA_pct,Operating_Margin_pct,Leverage_pct,Patent_Family_Count,Citation_Weighted_Output,Cross_Border_Flag,Deal_Value_USD_m,Financial_Row_Complete,Patent_Row_Complete,Panel_Notes
CTL-0005,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,UCB SA,Handl Therapeutics,2020,1,2021,1,1,,5777.0,1318.0,1058.0,14210.0,2141.0,1629.0,7.6864,22.8146,15.0669,17.0,2.0,Unknown,,Yes,Yes,
CTL-0005,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,UCB SA,Handl Therapeutics,2020,2,2022,1,1,,5517.0,679.0,418.0,15868.0,3000.0,1670.0,2.7794,12.3074,18.906,5.0,,Unknown,,Yes,No,
CTL-0005,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,UCB SA,Handl Therapeutics,2020,3,2023,1,1,,5252.0,659.0,343.0,15539.0,3102.0,1630.0,2.1842,12.5476,19.9627,,,Unknown,,Yes,No,
CTL-0006,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Revvity Inc,Horizon Discovery Group Ltd,2020,-3,2017,0,0,,,,,,,,,,,,,Unknown,383.0,No,No,
CTL-0006,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Revvity Inc,Horizon Discovery Group Ltd,2020,-2,2018,0,0,,,,,,,,,,,,,Unknown,383.0,No,No,
CTL-0006,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Revvity Inc,Horizon Discovery Group Ltd,2020,-1,2019,0,0,,,,,,,,,,,,,Unknown,383.0,No,No,
CTL-0006,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Revvity Inc,Horizon Discovery Group Ltd,2020,0,2020,0,1,,,,,,,,,,,,,Unknown,383.0,No,No,
CTL-0006,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Revvity Inc,Horizon Discovery Group Ltd,2020,1,2021,1,1,,,,,,,,,,,,,Unknown,383.0,No,No,
CTL-0006,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Revvity Inc,Horizon Discovery Group Ltd,2020,2,2022,1,1,,,,,,,,,,,,,Unknown,383.0,No,No,
CTL-0006,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Revvity Inc,Horizon Discovery Group Ltd,2020,3,2023,1,1,,,,,,,,,,,,,Unknown,383.0,No,No,
CTL-0007,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Travere Therapeutics Inc,Orphan Technologies Ltd,2020,-3,2017,0,0,,,,,,,,,,,,,Unknown,517.0,No,No,
CTL-0007,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Travere Therapeutics Inc,Orphan Technologies Ltd,2020,-2,2018,0,0,,,,,,,,,,,,,Unknown,517.0,No,No,
CTL-0007,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Travere Therapeutics Inc,Orphan Technologies Ltd,2020,-1,2019,0,0,,,,,,,,,,,,,Unknown,517.0,No,No,
CTL-0007,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Travere Therapeutics Inc,Orphan Technologies Ltd,2020,0,2020,0,1,,,,,,,,,,,,,Unknown,517.0,No,No,
CTL-0007,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Travere Therapeutics Inc,Orphan Technologies Ltd,2020,1,2021,1,1,,,,,,,,,,,,,Unknown,517.0,No,No,
CTL-0007,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Travere Therapeutics Inc,Orphan Technologies Ltd,2020,2,2022,1,1,,,,,,,,,,,,,Unknown,517.0,No,No,
CTL-0007,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Travere Therapeutics Inc,Orphan Technologies Ltd,2020,3,2023,1,1,,,,,,,,,,,,,Unknown,517.0,No,No,
CTL-0008,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Stada Arzneimittel AG,LobSor Pharmaceuticals AB,2020,-3,2017,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0008,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Stada Arzneimittel AG,LobSor Pharmaceuticals AB,2020,-2,2018,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0008,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Stada Arzneimittel AG,LobSor Pharmaceuticals AB,2020,-1,2019,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0008,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Stada Arzneimittel AG,LobSor Pharmaceuticals AB,2020,0,2020,0,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0008,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Stada Arzneimittel AG,LobSor Pharmaceuticals AB,2020,1,2021,1,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0008,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Stada Arzneimittel AG,LobSor Pharmaceuticals AB,2020,2,2022,1,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0008,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Stada Arzneimittel AG,LobSor Pharmaceuticals AB,2020,3,2023,1,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0009,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,COC Farmaceutici Srl,Tubilux Pharma SpA,2020,-3,2017,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0009,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,COC Farmaceutici Srl,Tubilux Pharma SpA,2020,-2,2018,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0009,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,COC Farmaceutici Srl,Tubilux Pharma SpA,2020,-1,2019,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0009,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,COC Farmaceutici Srl,Tubilux Pharma SpA,2020,0,2020,0,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0009,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,COC Farmaceutici Srl,Tubilux Pharma SpA,2020,1,2021,1,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0009,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,COC Farmaceutici Srl,Tubilux Pharma SpA,2020,2,2022,1,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0009,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,COC Farmaceutici Srl,Tubilux Pharma SpA,2020,3,2023,1,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0010,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,,"BIOSTAT SOLUTIONS, INC.; PharmaLex GmbH",2020,-3,2017,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0010,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,,"BIOSTAT SOLUTIONS, INC.; PharmaLex GmbH",2020,-2,2018,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0010,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,,"BIOSTAT SOLUTIONS, INC.; PharmaLex GmbH",2020,-1,2019,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0010,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,,"BIOSTAT SOLUTIONS, INC.; PharmaLex GmbH",2020,0,2020,0,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0010,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,,"BIOSTAT SOLUTIONS, INC.; PharmaLex GmbH",2020,1,2021,1,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0010,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,,"BIOSTAT SOLUTIONS, INC.; PharmaLex GmbH",2020,2,2022,1,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0010,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,,"BIOSTAT SOLUTIONS, INC.; PharmaLex GmbH",2020,3,2023,1,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0011,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Bayer AG,KaNDy Therapeutics Ltd,2020,-3,2017,0,0,,,,,,,,,,,,,Unknown,875.0,No,No,
CTL-0011,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Bayer AG,KaNDy Therapeutics Ltd,2020,-2,2018,0,0,,,,,,,,,,,,,Unknown,875.0,No,No,
CTL-0011,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Bayer AG,KaNDy Therapeutics Ltd,2020,-1,2019,0,0,,,,,,,,,,,,,Unknown,875.0,No,No,
CTL-0011,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Bayer AG,KaNDy Therapeutics Ltd,2020,0,2020,0,1,,,,,,,,,,,,,Unknown,875.0,No,No,
CTL-0011,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Bayer AG,KaNDy Therapeutics Ltd,2020,1,2021,1,1,,,,,,,,,,,,,Unknown,875.0,No,No,
CTL-0011,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Bayer AG,KaNDy Therapeutics Ltd,2020,2,2022,1,1,,,,,,,,,,,,,Unknown,875.0,No,No,
CTL-0011,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Bayer AG,KaNDy Therapeutics Ltd,2020,3,2023,1,1,,,,,,,,,,,,,Unknown,875.0,No,No,
CTL-0012,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,JRH ASI SA,Helix Immuno-Oncology SA,2020,-3,2017,0,0,,,,,,,,,,,,,Unknown,1.0,No,No,
CTL-0012,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,JRH ASI SA,Helix Immuno-Oncology SA,2020,-2,2018,0,0,,,,,,,,,,,,,Unknown,1.0,No,No,
CTL-0012,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,JRH ASI SA,Helix Immuno-Oncology SA,2020,-1,2019,0,0,,,,,,,,,,,,,Unknown,1.0,No,No,
CTL-0012,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,JRH ASI SA,Helix Immuno-Oncology SA,2020,0,2020,0,1,,,,,,,,,,,,,Unknown,1.0,No,No,
CTL-0012,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,JRH ASI SA,Helix Immuno-Oncology SA,2020,1,2021,1,1,,,,,,,,,,,,,Unknown,1.0,No,No,
CTL-0012,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,JRH ASI SA,Helix Immuno-Oncology SA,2020,2,2022,1,1,,,,,,,,,,,,,Unknown,1.0,No,No,
CTL-0012,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,JRH ASI SA,Helix Immuno-Oncology SA,2020,3,2023,1,1,,,,,,,,,,,,,Unknown,1.0,No,No,
CTL-0013,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Kreditanstalt fur Wiederaufbau,Curevac NV,2020,-3,2017,0,0,,,,,,,,,,,,,Unknown,337.0,No,No,
CTL-0013,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Kreditanstalt fur Wiederaufbau,Curevac NV,2020,-2,2018,0,0,,,,,,,,,,,,,Unknown,337.0,No,No,
CTL-0013,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Kreditanstalt fur Wiederaufbau,Curevac NV,2020,-1,2019,0,0,,,,,,,,,,,,,Unknown,337.0,No,No,
CTL-0013,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Kreditanstalt fur Wiederaufbau,Curevac NV,2020,0,2020,0,1,,,,,,,,,,,,,Unknown,337.0,No,No,
CTL-0013,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Kreditanstalt fur Wiederaufbau,Curevac NV,2020,1,2021,1,1,,,,,,,,,,,,,Unknown,337.0,No,No,
CTL-0013,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Kreditanstalt fur Wiederaufbau,Curevac NV,2020,2,2022,1,1,,,,,,,,,,,,,Unknown,337.0,No,No,
CTL-0013,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Kreditanstalt fur Wiederaufbau,Curevac NV,2020,3,2023,1,1,,,,,,,,,,,,,Unknown,337.0,No,No,
CTL-0014,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,BBI Group Holding Ltd (Inactive),Diarect AG,2020,-3,2017,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0014,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,BBI Group Holding Ltd (Inactive),Diarect AG,2020,-2,2018,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0014,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,BBI Group Holding Ltd (Inactive),Diarect AG,2020,-1,2019,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0014,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,BBI Group Holding Ltd (Inactive),Diarect AG,2020,0,2020,0,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0014,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,BBI Group Holding Ltd (Inactive),Diarect AG,2020,1,2021,1,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0014,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,BBI Group Holding Ltd (Inactive),Diarect AG,2020,2,2022,1,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0014,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,BBI Group Holding Ltd (Inactive),Diarect AG,2020,3,2023,1,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0015,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Sygnature Discovery Ltd,Alderley Oncology,2020,-3,2017,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0015,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Sygnature Discovery Ltd,Alderley Oncology,2020,-2,2018,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0015,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Sygnature Discovery Ltd,Alderley Oncology,2020,-1,2019,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0015,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Sygnature Discovery Ltd,Alderley Oncology,2020,0,2020,0,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0015,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Sygnature Discovery Ltd,Alderley Oncology,2020,1,2021,1,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0015,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Sygnature Discovery Ltd,Alderley Oncology,2020,2,2022,1,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0015,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Sygnature Discovery Ltd,Alderley Oncology,2020,3,2023,1,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0016,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Novavax Inc,Novavax CZ,2020,-3,2017,0,0,,,,,,,,,,,,,Unknown,167.0,No,No,
CTL-0016,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Novavax Inc,Novavax CZ,2020,-2,2018,0,0,,,,,,,,,,,,,Unknown,167.0,No,No,
CTL-0016,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Novavax Inc,Novavax CZ,2020,-1,2019,0,0,,,,,,,,,,,,,Unknown,167.0,No,No,
CTL-0016,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Novavax Inc,Novavax CZ,2020,0,2020,0,1,,,,,,,,,,,,,Unknown,167.0,No,No,
CTL-0016,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Novavax Inc,Novavax CZ,2020,1,2021,1,1,,,,,,,,,,,,,Unknown,167.0,No,No,
CTL-0016,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Novavax Inc,Novavax CZ,2020,2,2022,1,1,,,,,,,,,,,,,Unknown,167.0,No,No,
CTL-0016,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Novavax Inc,Novavax CZ,2020,3,2023,1,1,,,,,,,,,,,,,Unknown,167.0,No,No,
CTL-0017,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Serb SAS,Veriton Pharma Ltd,2020,-3,2017,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0017,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Serb SAS,Veriton Pharma Ltd,2020,-2,2018,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0017,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Serb SAS,Veriton Pharma Ltd,2020,-1,2019,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0017,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Serb SAS,Veriton Pharma Ltd,2020,0,2020,0,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0017,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Serb SAS,Veriton Pharma Ltd,2020,1,2021,1,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0017,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Serb SAS,Veriton Pharma Ltd,2020,2,2022,1,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0017,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Serb SAS,Veriton Pharma Ltd,2020,3,2023,1,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0018,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Mediolanum farmaceutici SpA,Elsalys Biotech SA,2020,-3,2017,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0018,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Mediolanum farmaceutici SpA,Elsalys Biotech SA,2020,-2,2018,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0018,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Mediolanum farmaceutici SpA,Elsalys Biotech SA,2020,-1,2019,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0018,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Mediolanum farmaceutici SpA,Elsalys Biotech SA,2020,0,2020,0,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0018,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Mediolanum farmaceutici SpA,Elsalys Biotech SA,2020,1,2021,1,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0018,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Mediolanum farmaceutici SpA,Elsalys Biotech SA,2020,2,2022,1,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0018,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Mediolanum farmaceutici SpA,Elsalys Biotech SA,2020,3,2023,1,1,,,,,,,,,,,,,Unknown,,No,No,
CTL-0019,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Ascenion GmbH; IFB Innovationsstarter GmbH (Innovationsstarter Hamburg GmbH),PROVIREX Genome Editing Therapies GmbH,2020,-3,2017,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0019,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Ascenion GmbH; IFB Innovationsstarter GmbH (Innovationsstarter Hamburg GmbH),PROVIREX Genome Editing Therapies GmbH,2020,-2,2018,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0019,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Ascenion GmbH; IFB Innovationsstarter GmbH (Innovationsstarter Hamburg GmbH),PROVIREX Genome Editing Therapies GmbH,2020,-1,2019,0,0,,,,,,,,,,,,,Unknown,,No,No,
CTL-0019,Candidate alternative-rationale group,Not reviewed,Not assessed,0,,Review,Ascenion GmbH; IFB Innovationsstarter GmbH (Innovationsstarter Hamburg GmbH),PROVIREX Genome Editing Therapies GmbH,2020,0,2020,0,1,,,,,,,,,,,,,Unknown,,No,No,
